fid,fname,fruntime,certificate,fbudget,fopening,fcumlative,fGross,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,flocation,fproduction,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fcomedy,fadult,fdocumentary,fmystery,fadventure,fbiography,fshort,fnews,fthriller,ffamily,fhistory,fcrime,fhorror,ftalk-show,fwar,fgame-show,freality-tv,fwestern,faction,fmusical,fsport,fmusic,fanimation,fromance,fsci-fi,ffantasy,fdrama,act1,act2,actW,nominated,Won,month,year
tt0222812,Beyond Re-Animator,96.0,R,3000000,,302586.0,,5.9,10439.0,0.5900000000000001,0.0,0.0,Spain,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0.0,2.0,,,Jul,2003
tt0314412,My Life Without Me,106.0,R,EUR2000000,40515.0,9781854.0,400948.0,7.5,23369.0,0.75,0.0,2.5,Spain,other,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.0,0.0,3.0,,,Mar,2003
tt0295249,The Extreme Team,,,,,,,3.8,211.0,0.36,0.0,0.0,,other,0.0,7.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Feb,2003
tt0325123,Bright Young Things,102.0,R,,46926.0,2682600.0,933637.0,6.6,4903.0,0.6599999999999999,0.0,8.0,UK,other,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Oct,2003
tt0289944,Fear X,91.0,PG-13,6600000,,,,6.0,6446.0,0.6,0.0,1.5,Denmark,other,0.0,0.0,1.5,0.0,0.0,1.0,1.0,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,4.0,,,Apr,2003
tt0357470,The Battle of Shaker Heights,79.0,PG-13,1000000,42569.0,280351.0,280351.0,6.0,4099.0,0.6,0.0,0.0,,other,0.0,0.0,0.5,2.0,4.5,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Aug,2003
tt0342492,The Green Butchers,100.0,R,,2483.0,3783.0,3783,7.3,18065.0,0.73,0.0,3.0,Denmark,other,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,,,Mar,2003
tt0373981,Kontroll,105.0,R,HUF100000000,10098.0,1277800.0,237183.0,7.7,23333.0,0.77,0.0,0.0,Hungary,other,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Nov,2003
tt0323572,Chasing Papi,80.0,PG,,2404557.0,12661189.0,6130049.0,4.8,3788.0,0.48,0.0,2.5,USA,Fox 2000 Pictures,0.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,,,Apr,2003
tt0373283,Saints and Soldiers,90.0,PG-13,780000,129056.0,1310470.0,1310470.0,6.7,19474.0,0.67,0.0,0.0,USA,other,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Mar,2005
tt0372782,A Good Lawyer's Wife,105.0,Not Rated,,,80940.0,,6.3,1307.0,0.63,0.0,2.0,South Korea,other,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.0,0.0,2.0,,,Aug,2003
tt0325055,Sylvia,110.0,R,GBP7000000,58940.0,2917393.0,1315498.0,6.3,9982.0,0.63,0.0,1.0,USA,other,0.0,0.0,2.5,3.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Oct,2003
tt0337721,The Snow Walker,103.0,PG,CAD10000000,35000.0,201149.0,201149.0,7.3,9677.0,0.74,0.0,0.0,Canada,other,0.0,1.0,2.0,0.5,0.0,1.0,2.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,,,Mar,2004
tt0361668,Gozu,129.0,R,,5030.0,58202.0,58202,7.0,10527.0,0.7,0.0,0.0,France,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jul,2004
tt0242888,The Sleeping Dictionary,109.0,R,12000000,,57524.0,,6.6,7857.0,0.6599999999999999,0.0,2.0,Mexico,other,0.0,1.0,3.0,0.5,0.5,1.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,,,Jan,2003
tt0332658,Intermission,105.0,R,5000000,39936.0,4856298.0,896993.0,6.8,14762.0,0.6799999999999999,0.0,0.0,Ireland,other,0.0,1.5,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,,,Apr,2004
tt0323939,Shade,101.0,R,10000000,10696.0,459098.0,25032.0,6.3,11708.0,0.63,0.0,0.0,Thailand,other,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,May,2004
tt0348853,Nathalie...,106.0,,,10351.0,5228683.0,31008.0,6.3,4301.0,0.63,0.0,0.5,France,other,0.0,0.0,8.0,1.5,0.0,0.0,2.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,6.0,,,Jan,2004
tt0306734,The Divorce,117.0,PG-13,,516834.0,12991996.0,9081057,4.9,10696.0,0.49000000000000005,0.0,0.0,USA,other,0.0,4.5,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10.0,0.0,10.0,,,Aug,2003
tt0300015,I Capture the Castle,113.0,R,8000000,51970.0,6586341.0,1179035.0,6.9,6671.0,0.6900000000000001,0.0,0.0,UK,other,0.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,,,Aug,2003
tt0379370,Maqbool,132.0,,,,,,8.2,8021.0,0.82,0.0,0.0,India,other,0.0,0.0,0.5,0.0,1.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jan,2004
tt0350171,Sukdulan,105.0,,,,,,7.1,42.0,0.63,0.0,0.0,Philippines,other,0.0,1.0,0.0,3.5,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jan,2003
tt0348568,The Classic,127.0,,,,7582367.0,,7.8,7427.0,0.78,0.0,1.0,South Korea,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Jan,2003
tt0142634,Nobody Knows Anything!,88.0,R,,,,,3.2,524.0,0.32,0.0,0.0,USA,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Oct,2003
tt0371881,www.XXX.com,105.0,,,,,,4.6,219.0,0.45999999999999996,0.0,0.0,,other,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Aug,2003
tt0327919,I Am David,90.0,PG,,160346.0,292376.0,288552.0,7.2,6985.0,0.72,0.0,0.0,UK,other,0.0,2.5,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,,,Dec,2004
tt0261992,Winter Break,92.0,R,,,,,5.0,1178.0,0.5,0.0,0.0,,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Aug,2003
tt0310203,Ruby & Quentin,85.0,Not Rated,EUR27440000,91714.0,27729359.0,312824,7.1,25534.0,0.71,0.0,3.5,Belgium,other,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,1.0,12.0,,,Oct,2003
tt0322659,Northfork,103.0,PG-13,1900000,61481.0,1599804.0,1420578.0,6.3,5161.0,0.63,0.0,1.5,USA,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10.0,0.0,10.0,,,Aug,2003
tt0284674,Pauly Shore Is Dead,82.0,R,,11000.0,11000.0,11000.0,4.4,4425.0,0.44000000000000006,0.0,0.0,,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,,,Jan,2003
tt0347585,The Mummy's Kiss,88.0,R,,,,,3.8,493.0,0.39,0.0,0.0,,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,,,Aug,2003
tt0338135,The Barbarian Invasions,99.0,R,CAD6000000,461363.0,34883010.0,8544975,7.6,27252.0,0.76,0.0,4.0,France,other,0.5,3.5,0.0,1.0,1.5,1.0,2.0,0.0,2.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,2.0,1.0,Mar,2004
tt0293007,Carandiru,145.0,R,BRL12000000,17945.0,10781635.0,216335.0,7.6,16826.0,0.76,0.0,7.5,Brazil,other,0.0,4.5,2.0,0.0,7.5,0.0,1.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,,,Apr,2003
tt0335013,The Company,112.0,PG-13,15000000,93776.0,6415017.0,2283914.0,6.3,6062.0,0.63,0.0,4.5,Netherlands,other,0.0,2.0,0.5,0.5,34.5,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2.0,0.0,2.0,,,May,2004
tt0378897,A Touch of Spice,108.0,,,,10395779.0,,7.5,12373.0,0.75,0.0,0.0,Greece,other,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,,,Oct,2003
tt0319829,Masked and Anonymous,112.0,PG-13,,30783.0,546106.0,533569.0,5.4,4322.0,0.54,0.0,10.5,Canada,other,0.0,2.0,10.5,0.0,0.0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,9.0,3.0,12.0,,,Aug,2003
tt0286947,Scorched,95.0,PG-13,7000000,8000.0,369194.0,8000.0,6.0,6071.0,0.6,0.0,0.0,Portugal,other,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,12.0,,,May,2003
tt0366292,One Missed Call,112.0,R,,,16367880.0,,6.2,16019.0,0.62,0.0,0.0,Japan,other,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,7.0,,,Jan,2004
tt0285861,Owning Mahowny,104.0,R,10000000,33287.0,1271244.0,1011871.0,7.1,12063.0,0.71,0.0,0.0,Argentina,other,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2.0,3.0,,,Sep,2003
tt0352343,Facing Windows,106.0,R,,36061.0,15535312.0,543354,7.3,10243.0,0.73,0.0,7.0,Italy,other,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,,,Jun,2004
tt0345061,Code 46,93.0,R,7500000,20170.0,886018.0,285585.0,6.2,19469.0,0.62,0.0,2.0,Italy,other,0.0,4.5,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,11.0,0.0,11.0,,,Sep,2004
tt0384819,Azumi,128.0,Not Rated,,2848.0,6710522.0,41803.0,6.8,13973.0,0.6799999999999999,0.0,0.0,Japan,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,,,May,2003
tt0367913,Ju-On: The Grudge 2,92.0,R,,,2705820.0,,6.3,8149.0,0.63,0.0,1.0,South Korea,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Sep,2003
tt1535438,Hope Springs,100.0,PG-13,30000000,14650121.0,114281051.0,63536011.0,6.3,39181.0,0.63,0.0,0.0,Canada,Columbia Pictures,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,13.0,46.0,,,Aug,2012
tt1535438,Hope Springs,100.0,PG-13,30000000,14650121.0,114281051.0,63536011.0,6.3,39178.0,0.63,0.0,0.0,Canada,Columbia Pictures,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,13.0,46.0,,,Aug,2012
tt0354668,Save the Green Planet!,118.0,Unrated,,3040.0,15516.0,15516,7.3,7207.0,0.73,0.0,0.0,South Korea,other,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,,,Apr,2003
tt0338763,Battle Royale II,134.0,Not Rated,9000000,,14902587.0,,4.7,18675.0,0.47000000000000003,0.0,0.5,Japan,other,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,,,Jul,2003
tt0368667,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,68.0,Not Rated,,,46408.0,,7.8,12911.0,0.78,0.0,0.0,France,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0.0,0.0,0.0,,,May,2003
tt0301744,The Principles of Lust,108.0,,,,,,5.0,1066.0,0.5,0.0,0.5,UK,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Mar,2004
tt0337711,Rugrats Go Wild,80.0,PG,25000000,11556869.0,55250496.0,39402572.0,5.6,7173.0,0.5599999999999999,0.0,1.5,Canada,other,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,,,Jun,2003
tt0323633,Melvin Goes to Dinner,83.0,R,,1919.0,4168.0,4168.0,6.9,2373.0,0.7,0.0,0.0,USA,other,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Dec,2003
tt0326429,The Miracle of Bern,118.0,,EUR7300000,,24816394.0,,6.7,6270.0,0.67,0.0,9.5,Germany,other,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,,,Oct,2003
tt0315110,Twentynine Palms,119.0,Unrated,,12870.0,167999.0,54523.0,5.3,4045.0,0.53,0.0,10.0,France,other,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Sep,2003
tt0377992,The Visual Bible: The Gospel of John,180.0,PG-13,10000000,98363.0,4078741.0,4069090.0,7.7,2641.0,0.77,0.0,0.0,USA,other,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,,,Nov,2003
tt0326977,I'm Not Scared,108.0,R,,48292.0,7354418.0,1615328,7.4,13771.0,0.74,0.0,0.0,Italy,other,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,0.0,6.0,,,May,2004
tt0350193,Take My Eyes,109.0,Not Rated,,6440.0,6098633.0,30496,7.4,5962.0,0.75,0.0,9.0,Spain,other,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,1.0,2.0,,,Oct,2003
tt0339230,Kopps,90.0,,SEK22000000,,3930933.0,,6.7,18285.0,0.67,0.0,4.0,Sweden,other,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Feb,2003
tt0367088,Spymate,81.0,PG,,,46007.0,,3.9,1010.0,0.42000000000000004,0.0,0.5,Canada,other,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,,,Jan,2006
tt0317640,The Hebrew Hammer,85.0,R,2000000,19539.0,94615.0,82157.0,6.1,4524.0,0.61,0.0,0.0,Australia,other,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Mar,2004
tt0309372,Blizzard,93.0,G,,145525.0,576320.0,504600.0,5.6,901.0,0.58,0.0,0.0,Bahrain,other,0.0,0.0,0.5,3.0,0.0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Dec,2003
tt0328031,King of the Ants,102.0,R,,,,,6.2,3723.0,0.63,0.0,1.0,,other,0.0,1.0,0.0,4.5,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jun,2003
tt0395524,Eiffel I'm in Love,262.0,,,,,,6.1,452.0,0.61,0.0,0.0,Indonesia,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Nov,2003
tt0367790,Baadasssss!,109.0,R,,45331.0,365727.0,365727,7.3,4574.0,0.74,0.0,6.0,Australia,other,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,,,Mar,2005
tt0329388,Monsieur Ibrahim,96.0,R,,,11541041.0,2823890,7.3,10445.0,0.74,0.0,2.0,Italy,other,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,,,Apr,2004
tt0323642,Piglet's Big Movie,75.0,G,,6097758.0,62870546.0,23103423.0,6.1,6320.0,0.61,0.0,0.0,Canada,other,0.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,,,Mar,2003
tt0366943,Reconstruction,92.0,PG-13,,13629.0,471107.0,73516.0,7.4,6873.0,0.74,0.0,1.0,Denmark,other,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Sep,2003
tt0425027,Flywheel,120.0,Not Rated,20000,,,,6.8,3679.0,0.6799999999999999,0.0,0.0,Brazil,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jul,2003
tt0369060,Infernal Affairs II,119.0,Not Rated,,,3244410.0,,7.3,15896.0,0.73,0.0,0.0,Hong Kong,other,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Oct,2003
tt0362246,Tiresia,115.0,Unrated,,,104574.0,,6.3,1006.0,0.65,0.0,0.5,France,other,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Oct,2003
tt0317950,Nola,97.0,R,,6010.0,10550.0,10550.0,5.2,394.0,0.53,0.0,0.0,,other,0.0,1.0,1.5,0.5,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,,,May,2003
tt0318283,Alex & Emma,96.0,PG-13,30000000,6111074.0,15368897.0,14218698.0,5.6,12653.0,0.5599999999999999,0.0,0.0,USA,other,0.0,0.0,4.5,0.0,0.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,1.0,,,Jun,2003
tt0375782,"Gone, But Not Forgotten",94.0,Unrated,,,,,5.6,1851.0,0.5599999999999999,0.0,0.0,,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Oct,2003
tt0348843,Jism,136.0,,INR32500000,,2843336.0,,5.2,1934.0,0.52,0.0,2.0,Ireland,other,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Jan,2003
tt0254481,Koi... Mil Gaya,171.0,Not Rated,INR350000000,274851.0,12168232.0,671372.0,7.1,19481.0,0.71,0.0,1.0,Australia,other,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1.0,2.0,3.0,,,Aug,2003
tt1523483,Kaboom,86.0,Not Rated,,13714.0,539957,118919.0,5.7,12023.0,0.5700000000000001,0.0,11.0,France,other,0.0,0.0,0.0,11.0,11.0,1.0,1.0,1.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,0.0,3.0,,,Oct,2010
tt1523483,Kaboom,86.0,Not Rated,,13714.0,539957,118919.0,5.7,12023.0,0.5700000000000001,0.0,11.0,France,other,0.0,0.0,0.0,11.0,11.0,1.0,1.0,1.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,0.0,3.0,,,Oct,2010
tt0338280,Ned,81.0,,,,,,6.5,337.0,0.6599999999999999,0.0,0.0,Australia,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,May,2003
tt0322545,Berlin Blues,105.0,,EUR6000000,,4143889.0,,7.2,6291.0,0.72,0.0,0.0,Germany,other,0.0,2.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Oct,2003
