fid,fname,fruntime,certificate,fbudget,fopening,fcumlative,fGross,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,flocation,fproduction,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fcomedy,fadult,fdocumentary,fmystery,fadventure,fbiography,fshort,fnews,fthriller,ffamily,fhistory,fcrime,fhorror,ftalk-show,fwar,fgame-show,freality-tv,fwestern,faction,fmusical,fsport,fmusic,fanimation,fromance,fsci-fi,ffantasy,fdrama,act1,act2,actW,nominated,Won,month,year
tt0228786,The Crimson Rivers,106.0,R,14000000,111026.0,60103680.0,594966,6.9,55250.0,0.6900000000000001,0.0,0.0,France,other,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Jul,2001
tt0120263,Songs from the Second Floor,98.0,Not Rated,,,80334.0,80334,7.6,16232.0,0.76,0.0,4.0,Sweden,other,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Oct,2000
tt0249241,Werckmeister Harmonies,145.0,,FRF10000000,4852.0,25461.0,25461,8.2,11559.0,0.82,0.0,0.0,Hungary,other,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,,,Feb,2001
tt0260991,Joint Security Area,110.0,Not Rated,,,124071.0,,7.8,24095.0,0.78,0.0,0.0,South Korea,other,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Sep,2000
tt0247586,Nine Queens,114.0,R,1500000,40724.0,12413888.0,1222889,7.9,46798.0,0.79,0.0,0.0,Argentina,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Aug,2000
tt0211387,Water Drops on Burning Rocks,82.0,Not Rated,,10617.0,,86132SeemoreonIMDbPro »CompanyCreditsProductionCo,6.8,5775.0,0.6799999999999999,0.0,12.5,France,other,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,,,Mar,2000
tt1438173,Bait,93.0,R,AUD30000000,,33381384.0,"$365,187",5.2,15193.0,0.52,0.0,0.0,Italy,other,0.0,1.5,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.0,1.0,,,Sep,2012
tt1438173,Bait,93.0,R,AUD30000000,,33381384.0,"$365,187",5.2,15189.0,0.52,0.0,0.0,Italy,other,0.0,1.5,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.0,1.0,,,Sep,2012
tt0223268,Faust,98.0,R,EUR3000000,,,,4.3,3529.0,0.42000000000000004,0.0,0.0,Spain,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,,,Feb,2001
tt0216625,Code Unknown,118.0,Not Rated,,,95242.0,95242,7.2,10882.0,0.72,0.0,7.0,France,other,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,0.0,10.0,,,Nov,2001
tt0236027,Flickering Lights,109.0,Not Rated,,,2760077.0,,7.7,18032.0,0.77,0.0,3.0,Denmark,other,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,Nov,2000
tt0213203,Rugrats in Paris: The Movie,78.0,G,30000000,22718184.0,103291131.0,76507756,6.1,10386.0,0.61,0.0,1.5,Aruba,Paramount Pictures,0.0,0.0,1.0,0.0,0.5,1.0,2.0,1.0,2.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,,,Nov,2000
tt0420251,Three... Extremes,118.0,R,,36414.0,516930.0,77532,7.0,17956.0,0.7,0.0,0.0,South Korea,other,0.0,0.0,0.0,8.5,0.0,0.0,4.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,3.0,,,Aug,2004
tt0420251,Three... Extremes,118.0,R,,36414.0,516930.0,77532,7.0,17956.0,0.7,0.0,0.0,South Korea,other,0.0,0.0,0.0,8.5,0.0,0.0,4.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,3.0,,,Aug,2004
tt0203166,Together,106.0,R,SEK17000000,45848.0,14596148.0,1034829,7.4,19802.0,0.74,0.0,6.0,Sweden,other,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,,Sep,2001
tt0244870,Spiral,90.0,,1000000,,,,6.2,6900.0,0.62,0.0,0.0,Japan,other,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,,,Feb,2000
tt0255589,The Isle,90.0,Not Rated,1000000,4546.0,24963.0,20666,7.0,11887.0,0.7,0.0,0.5,South Korea,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Apr,2000
tt0230169,Ed Gein,89.0,Not Rated,,5708.0,,5708SeemoreonIMDbPro »CompanyCreditsProductionCo,5.5,4908.0,0.55,0.0,0.0,Spain,other,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jul,2001
