fid,fname,fruntime,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fmystery,fadventure,ffamily,fromance,fthriller,fwestern,fhistory,fmusical,fdrama,fwar,ffantasy,fcrime,fanimation,fsport,faction,fbiography,fcomedy,fsci-fi,fhorror,fmusic,actW,nominated,Won,month,year,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_Unrated,fproduction_BBC Films,fproduction_Columbia Pictures,fproduction_Dimension Films,fproduction_DreamWorks,fproduction_Fox Searchlight Pictures,fproduction_Lionsgate,fproduction_Millennium Films,fproduction_New Line Cinema,fproduction_Paramount Pictures,fproduction_Screen Gems,fproduction_Summit Entertainment,fproduction_Twentieth Century Fox,fproduction_Universal Pictures,fproduction_Walt Disney Pictures,fproduction_other,fGross_y,fbudget_y,fcumlative_y
tt0121766,Star Wars: Episode III - Revenge of the Sith,140.0,7.5,656744.0,0.75,19.0,19.0,0.0,0.0,6.0,0.0,19.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.0,0.0,0.0,5,2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,380270577.0,113000000.0,850035635.0
tt0125022,Heartbreakers,123.0,6.2,49344.0,0.62,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10.0,0.0,0.0,3,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40336607.0,35000000.0,57756408.0
tt0126029,Shrek,90.0,7.8,577022.0,0.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8.0,2.0,1.0,5,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,267665011.0,60000000.0,484409218.0
tt0132245,Driven,116.0,4.6,38036.0,0.46,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,28.0,0.0,0.0,4,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32720065.0,94000000.0,54744738.0
tt0133152,Planet of the Apes,119.0,5.7,203893.0,0.5700000000000001,5.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12.0,0.0,0.0,7,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,180011740.0,100000000.0,362211740.0
tt0133152,Planet of the Apes,119.0,5.7,203896.0,0.5700000000000001,5.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12.0,0.0,0.0,7,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,180011740.0,100000000.0,362211740.0
tt0138524,Intolerable Cruelty,100.0,6.2,86656.0,0.62,8.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0,0.0,0.0,10,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35327628.0,60000000.0,119898783.0
tt0139654,Training Day,122.0,7.7,364463.0,0.77,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,1.0,10,2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76631907.0,45000000.0,104876233.0
tt0141399,Isn't She Great,95.0,5.4,2204.0,0.54,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,10.0,0.0,0.0,1,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2962465.0,44000000.0,3003296.0
tt0141907,Town & Country,104.0,4.4,4523.0,0.4400000000000001,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.0,0.0,0.0,4,2001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6719973.0,90000000.0,10372291.0
