Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Inception,2010,PG-13,16 Jul 2010,148 min,"Action, Adventure, Sci-Fi, Thriller",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"English, Japanese, French","USA, UK",Won 4 Oscars. Another 152 wins & 204 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,8.8,"1,893,414",tt1375666,movie,07 Dec 2010,"$292,568,851",Warner Bros. Pictures,N/A,True
Tangled,2010,PG,24 Nov 2010,100 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","Nathan Greno, Byron Howard","Dan Fogelman (screenplay by), Jacob Grimm (based upon the fairy tale ""Rapunzel"" by), Wilhelm Grimm (based upon the fairy tale ""Rapunzel"" by)","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",English,USA,Nominated for 1 Oscar. Another 9 wins & 40 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.7,"375,053",tt0398286,movie,29 Mar 2011,"$200,803,309",Walt Disney Pictures,N/A,True
TRON: Legacy,2010,PG,17 Dec 2010,125 min,"Action, Adventure, Sci-Fi",Joseph Kosinski,"Edward Kitsis (screenplay), Adam Horowitz (screenplay), Edward Kitsis (story), Adam Horowitz (story), Brian Klugman (story), Lee Sternthal (story), Steven Lisberger (characters), Bonnie MacBird (characters)","Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,English,USA,Nominated for 1 Oscar. Another 10 wins & 49 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.8,"300,155",tt1104001,movie,05 Apr 2011,"$172,051,787",Walt Disney Pictures,N/A,True
Shutter Island,2010,R,19 Feb 2010,138 min,"Mystery, Thriller",Martin Scorsese,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","English, German",USA,9 wins & 62 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,8.1,"1,033,949",tt1130884,movie,08 Jun 2010,"$125,001,000",Paramount Studios,N/A,True
The Town,2010,R,17 Sep 2010,125 min,"Crime, Drama, Thriller",Ben Affleck,"Peter Craig (screenplay), Ben Affleck (screenplay), Aaron Stockard (screenplay), Chuck Hogan (novel)","Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the F.B.I. Agent looking to bring him and his crew down.",English,USA,Nominated for 1 Oscar. Another 9 wins & 45 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.5,"328,394",tt0840361,movie,17 Dec 2010,"$92,173,235",Warner Bros. Pictures,N/A,True
Black Swan,2010,R,17 Dec 2010,108 min,"Drama, Thriller",Darren Aronofsky,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)","Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","English, French, Italian",USA,Won 1 Oscar. Another 91 wins & 257 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,8.0,"660,992",tt0947798,movie,29 Mar 2011,"$106,952,327",Fox Searchlight,N/A,True
Toy Story 3,2010,G,18 Jun 2010,103 min,"Animation, Adventure, Comedy, Family, Fantasy",Lee Unkrich,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay by)","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","English, Spanish",USA,Won 2 Oscars. Another 58 wins & 91 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92,8.3,"707,238",tt0435761,movie,02 Nov 2010,"$414,984,497",Walt Disney Pictures,N/A,True
Iron Man 2,2010,PG-13,07 May 2010,124 min,"Action, Adventure, Sci-Fi",Jon Favreau,"Justin Theroux (screenplay), Stan Lee (Marvel comic book), Don Heck (Marvel comic book), Larry Lieber (Marvel comic book), Jack Kirby (Marvel comic book)","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","English, French, Russian",USA,Nominated for 1 Oscar. Another 7 wins & 42 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.0,"674,273",tt1228705,movie,28 Sep 2010,"$312,057,433",Paramount Studios,N/A,True
Scott Pilgrim vs. the World,2010,PG-13,13 Aug 2010,112 min,"Action, Comedy, Fantasy, Romance",Edgar Wright,"Michael Bacall (screenplay), Edgar Wright (screenplay), Bryan Lee O'Malley (Oni Press graphic novels)","Michael Cera, Kieran Culkin, Anna Kendrick, Alison Pill",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,English,"USA, UK, Canada, Japan",17 wins & 62 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.5,"346,769",tt0446029,movie,09 Nov 2010,"$31,494,270",Universal Pictures,N/A,True
The Social Network,2010,PG-13,01 Oct 2010,120 min,"Biography, Drama",David Fincher,"Aaron Sorkin (screenplay), Ben Mezrich (book)","Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","English, French",USA,Won 3 Oscars. Another 165 wins & 168 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,7.7,"579,002",tt1285016,movie,11 Jan 2011,"$96,400,000",Columbia Pictures,N/A,True
