Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Troy,2004,R,14 May 2004,163 min,"Drama, History",Wolfgang Petersen,"Homer (poem), David Benioff (screenplay)","Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",English,"USA, Malta, UK",Nominated for 1 Oscar. Another 4 wins & 21 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.2,"461,570",tt0332452,movie,04 Jan 2005,"$132,500,000",Warner Bros. Pictures,N/A,True
Mean Girls,2004,PG-13,30 Apr 2004,97 min,Comedy,Mark Waters,"Rosalind Wiseman (book), Tina Fey (screenplay)","Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","English, German, Vietnamese, Swahili","USA, Canada",7 wins & 25 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.0,"308,887",tt0377092,movie,21 Sep 2004,"$85,974,306",Paramount Pictures,N/A,True
The Polar Express,2004,G,10 Nov 2004,100 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical",Robert Zemeckis,"Chris Van Allsburg (book), Robert Zemeckis (screenplay), William Broyles Jr. (screenplay)","Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye","On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",English,USA,Nominated for 3 Oscars. Another 5 wins & 23 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.6,"158,638",tt0338348,movie,22 Nov 2005,"$162,800,000",Warner Bros. Pictures,N/A,True
Dodgeball: A True Underdog Story,2004,PG-13,18 Jun 2004,92 min,"Comedy, Sport",Rawson Marshall Thurber,Rawson Marshall Thurber,"Vince Vaughn, Christine Taylor, Ben Stiller, Rip Torn",A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,"English, German",USA,2 wins & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.7,"217,550",tt0364725,movie,07 Dec 2004,"$114,173,690",20th Century Fox,N/A,True
Harry Potter and the Prisoner of Azkaban,2004,PG,04 Jun 2004,142 min,"Adventure, Family, Fantasy, Mystery",Alfonso Cuarón,"J.K. Rowling (novel), Steve Kloves (screenplay)","Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw","It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",English,"UK, USA",Nominated for 2 Oscars. Another 14 wins & 45 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.9,"502,907",tt0304141,movie,22 Nov 2004,"$249,358,727",Warner Bros. Pictures,N/A,True
The Incredibles,2004,PG,05 Nov 2004,115 min,"Animation, Action, Adventure, Family",Brad Bird,Brad Bird,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","English, French",USA,Won 2 Oscars. Another 65 wins & 55 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.0,"617,169",tt0317705,movie,29 Mar 2005,N/A,N/A,N/A,True
The Notebook,2004,PG-13,25 Jun 2004,123 min,"Drama, Romance",Nick Cassavetes,"Jeremy Leven (screenplay), Jan Sardi (adaptation), Nicholas Sparks (novel)","Tim Ivey, Gena Rowlands, Starletta DuPois, James Garner","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",English,USA,12 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.8,"485,575",tt0332280,movie,08 Feb 2005,"$81,000,000",New Line Cinema,N/A,True
The Machinist,2004,R,03 Dec 2004,101 min,"Drama, Thriller",Brad Anderson,Scott Kosar,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian",An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"English, Spanish","Spain, France, UK, USA",7 wins & 15 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.7,"335,701",tt0361862,movie,07 Jun 2005,"$939,471",Paramount Classics,N/A,True
Eternal Sunshine of the Spotless Mind,2004,R,19 Mar 2004,108 min,"Drama, Romance, Sci-Fi",Michel Gondry,"Charlie Kaufman (story), Michel Gondry (story), Pierre Bismuth (story), Charlie Kaufman (screenplay)","Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",English,USA,Won 1 Oscar. Another 71 wins & 109 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.3,"844,364",tt0338013,movie,28 Sep 2004,"$34,126,138",Focus Features,N/A,True
The Day After Tomorrow,2004,PG-13,28 May 2004,124 min,"Action, Adventure, Sci-Fi, Thriller",Roland Emmerich,"Roland Emmerich (story), Roland Emmerich (screenplay), Jeffrey Nachmanoff (screenplay)","Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok","Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.","English, Japanese, French, Arabic",USA,Won 1 BAFTA Film Award. Another 5 wins & 12 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.4,"392,086",tt0319262,movie,12 Oct 2004,"$186,583,549",20th Century Fox,N/A,True
