Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Rogue One: A Star Wars Story,2016,PG-13,16 Dec 2016,133 min,"Action, Adventure, Sci-Fi",Gareth Edwards,"Chris Weitz (screenplay by), Tony Gilroy (screenplay by), John Knoll (story by), Gary Whitta (story by), George Lucas (based on characters created by)","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,English,USA,Nominated for 2 Oscars. Another 23 wins & 78 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.8,"492,697",tt3748528,movie,04 Apr 2017,"$532,171,696",Walt Disney Pictures,N/A,True
Suicide Squad,2016,PG-13,05 Aug 2016,123 min,"Action, Adventure, Fantasy, Sci-Fi",David Ayer,David Ayer,"Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,"English, Japanese, Spanish",USA,Won 1 Oscar. Another 16 wins & 37 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.0,"553,139",tt1386697,movie,13 Dec 2016,"$325,021,779",Warner Bros. Pictures,N/A,True
Zootopia,2016,PG,04 Mar 2016,108 min,"Animation, Adventure, Comedy, Crime, Family, Mystery","Byron Howard, Rich Moore, Jared Bush(co-director)","Byron Howard (story by), Rich Moore (story by), Jared Bush (story by), Jim Reardon (story by), Josie Trinidad (story by), Phil Johnston (story by), Jennifer Lee (story by), Jared Bush (screenplay by), Phil Johnston (screenplay by)","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",English,USA,Won 1 Oscar. Another 45 wins & 65 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.0,"394,091",tt2948356,movie,07 Jun 2016,"$341,264,012",Walt Disney Animation Studios,N/A,True
Moana,2016,PG,23 Nov 2016,107 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)","Jared Bush (screenplay by), Ron Clements (story by), John Musker (story by), Chris Williams (story by), Don Hall (story by), Pamela Ribon (story by), Aaron Kandell (story by), Jordan Kandell (story by)","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",English,USA,Nominated for 2 Oscars. Another 18 wins & 83 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.6,"236,081",tt3521164,movie,07 Mar 2017,"$248,752,120",Walt Disney Pictures,N/A,True
London Has Fallen,2016,R,04 Mar 2016,99 min,"Action, Thriller",Babak Najafi,"Creighton Rothenberger (based on characters created by), Katrin Benedikt (based on characters created by), Creighton Rothenberger (story by), Katrin Benedikt (story by), Creighton Rothenberger (screenplay by), Katrin Benedikt (screenplay by), Christian Gudegast (screenplay by), Chad St. John (screenplay by)","Alon Aboutboul, Waleed Zuaiter, Adel Bencherif, Mehdi Dehbi","In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.","English, Italian, French, Japanese","UK, Bulgaria, USA",1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.9,"131,044",tt3300542,movie,14 Jun 2016,N/A,Focus Features,N/A,True
Hacksaw Ridge,2016,R,04 Nov 2016,139 min,"Biography, Drama, History, War",Mel Gibson,"Robert Schenkkan (screenplay by), Andrew Knight (screenplay by)","Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","English, Japanese","Australia, USA",Won 2 Oscars. Another 46 wins & 111 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,8.1,"382,295",tt2119532,movie,21 Feb 2017,"$67,115,062",Summit Entertainment,N/A,True
Deadpool,2016,R,12 Feb 2016,108 min,"Action, Adventure, Comedy, Sci-Fi",Tim Miller,"Rhett Reese, Paul Wernick","Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",English,USA,Nominated for 2 Golden Globes. Another 27 wins & 73 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,8.0,"843,817",tt1431045,movie,10 May 2016,"$328,674,489",20th Century Fox,N/A,True
Split,2016,PG-13,20 Jan 2017,117 min,"Horror, Thriller",M. Night Shyamalan,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,English,"Japan, USA",8 wins & 19 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.3,"380,558",tt4972582,movie,18 Apr 2017,"$138,120,085",Universal Pictures,N/A,True
Me Before You,2016,PG-13,03 Jun 2016,106 min,"Drama, Romance",Thea Sharrock,"Jojo Moyes (based on the novel by), Jojo Moyes (screenplay by)","Sam Claflin, Vanessa Kirby, Emilia Clarke, Eileen Dunwoodie",A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,"English, French","UK, USA",6 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.4,"183,945",tt2674426,movie,30 Aug 2016,"$56,228,651",Warner Bros. Pictures,N/A,True
Captain America: Civil War,2016,PG-13,06 May 2016,147 min,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,"English, German, Xhosa, Russian, Romanian, Hindi",USA,16 wins & 65 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.8,"607,002",tt3498820,movie,13 Sep 2016,"$408,080,554",Walt Disney Pictures,N/A,True
