year,name,Movie_ID,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
2003,Love Actually,0314331,135,"['Bill Nighy', 'Gregor Fisher', 'Rory MacGregor', 'Colin Firth', 'Sienna Guillory', 'Liam Neeson', 'Emma Thompson', 'Lulu Popplewell', 'Kris Marshall', 'Heike Makatsch', 'Martin Freeman', 'Joanna Page', 'Chiwetel Ejiofor', 'Andrew Lincoln', 'Keira Knightley', 'Hugh Grant', 'Nina Sosanya', 'Frank Moorey', 'Jill Freud', 'Martine McCutcheon', 'Tim Hatwell', 'Laura Linney', 'Lynden David Hall', 'The Big Blue', 'Jont Whittington', 'Dan Fredenburgh', 'Julia Davis', 'Abdul Salis', 'Shaughan Seymour', 'Helen Murton', 'Edward Hardwicke', 'Caroline John', 'Thomas Brodie-Sangster', 'Gemma Aston', 'Matt Harvey', 'Adrian Preater', 'Joanna Thaw', 'Junior Simpson', 'Alan Rickman', 'Rodrigo Santoro', 'Brian Bovell', 'Sarah McDougall', 'Marcus Brigstocke', 'Richard Hawley', 'Wyllie Longmore', 'Gillian Barge', 'Richard Cotton', 'Kate Bowes Renna', 'Kate Glover', 'Nicola McRoy', 'Anthony McPartlin', 'Declan Donnelly', 'Elisabeth Margoni', 'Lúcia Moniz', 'Billy Bob Thornton', 'Peter Marinker', 'Keir Charles', 'Doraly Rosen', 'Meg Wynn Owen', 'Carol Carey', 'Jo Whiley', 'Sarah Atkinson', 'Clare Bennett', 'Sarah Holland', 'Vicki Murdoch', 'Meredith Ostrom', 'Katherine Poulton', 'Tuuli Shipster', 'Michael Parkinson', 'Michael Fitzgerald', ""Ciaran O'Driscoll"", 'Rowan Atkinson', 'William Wadham', 'Catia Duarte', 'Igor Urdenko', 'Nat Udom', 'Ines Boughanmi', 'Yuk Sim Yau', 'John Sharian', 'Glenn Conroy', 'Ivana Milicevic', 'January Jones', 'Elisha Cuthbert', 'Wes Butters', 'Laura Rees', 'Emma Buckley', 'Sheila Allen', 'Terry Reece', 'Colin Coull', 'Margery Mason', 'Katharine Bailey', 'Tiffany Boysell', 'Georgia Flint', 'Joanna Bacon', 'Bill Moody', 'Billy Campbell', 'Paul Slack', 'Adam Godley', 'Olivia Olson', 'Ruby Turner', 'Amanda Garwood', 'Arturo Venegas', 'Claudia Schiffer', 'Patrick Delaney', 'Helder Costa', 'Carla Vasconcelos', 'Stewart Howson', 'Jamie Edgell', 'Dave Fisher', 'Paul Heasman', 'Tony Lucken', 'Raul Atalaia', 'Nancy Sorrell', 'Shannon Elizabeth', 'Denise Richards', 'Chevy Lamont Cofield', 'Richard Curtis', 'Frances de la Tour', 'Rebecca Frayn', 'Kelly Michelle Gray', 'Jeanne Moreau', 'Fiona Thompson']","['Comedy', 'Drama', 'Romance']","['gb', 'us', 'fr']","['en', 'pt', 'fr']",R,40000000.0,,246942017.0,7.6,393035.0,14 Nov 2003 (Italy),"Love, Actually",Richard Curtis,Richard Curtis,,Tim Bevan,Liza Chasin,Universal Pictures,StudioCanal,Craig Armstrong,Nick Moore,Michael Coulter,Caroline Smith,Tom Glaisyer,Andy Burrow
2003,Pirates of the Caribbean: The Curse of the Black Pearl,0325980,143,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook', ""Damian O'Hare"", 'Giles New', 'Angus Barnett', 'David Bailie', 'Michael Berry Jr.', 'Isaac C. Singleton Jr.', 'Kevin McNally', 'Treva Etienne', 'Zoe Saldana', 'Guy Siner', 'Ralph P. Martin', 'Paula J. Newman', 'Paul Keith', 'Dylan Smith', 'Lucinda Dryzek', 'Luke de Woolfson', 'Michael Tighe', 'Greg Ellis', 'Dustin Seavey', 'Christian Martin', 'Israel Oyelumade', 'Trevor Goddard', 'Vince Lozano', 'Ben Wilson', 'Antonio Valentino', 'Lauren Maher', 'Matthew Bowyer', 'Brye Cooper', 'Mike Babcock', 'Owen Finnegan', 'Ian McIntyre', 'Vanessa Branch', 'Sam Roberts', 'Ben Roberts', 'Martin Klebba', 'Félix Castro', 'Mike Haberecht', 'Rudy McCollum', 'Gerard J. Reyes', 'M. Scott Shields', 'Christopher Sullivan', 'Craig Thomson', 'Fred Toft', 'D.P. FitzGerald', 'Jerry Gauny', 'Maxie Santillan Jr.', 'Michael Earl Lane', 'Tobias McKinney', 'David Patykewich', 'Tommy Schooler', 'Michael A. Thompson', 'Michael W. Williams', 'Jose Zelaya', 'Finneus Egan', 'Don LaDaga', 'LeJon', 'Christopher S. Capp', 'Gregory Alosio', 'Jordi Caballero', 'Tamara Castle', 'Paul Gagné', 'Joe Grisaffi', 'James McAuley']","['Action', 'Adventure', 'Fantasy']",['us'],['en'],PG-13::(No. 40031),140000000.0,"$46,630,690, 13 Jul 2003",,8.0,978012.0,09 Jul 2003 (Canada),Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Ted Elliott,Terry Rossio,Jerry Bruckheimer,Paul Deason,Walt Disney Pictures,Jerry Bruckheimer Films,Klaus Badelt,Stephen E. Rivkin,Dariusz Wolski,Larry Dias,Steven F. Beaupre,Lauren Abrams
2003,Terminator 3: Rise of the Machines,0181852,109,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes', 'Kristanna Loken', 'David Andrews', 'Mark Famiglietti', 'Earl Boen', 'Moira Sinise', 'Chopper Bernet', 'Christopher Lawford', 'Carolyn Hennesy', 'Jay Acovone', 'M.C. Gainey', 'Susan Merson', 'Elizabeth Morehead', 'Jimmy Snyder', 'Billy D. Lucas', 'Brian Sites', 'Alana Curry', 'Larry McCormick', 'Robert Alonzo', 'Michael Papajohn', 'Timothy Dowling', 'Jon Foster', 'Mark Hicks', 'Kim Robillard', 'Matt Gerald', ""William O'Leary"", 'Rick Zieff', 'Rebecca Tilney', 'Chris Hardwick', 'Helen Eigenberg', 'Kiki Gorton', 'Walter von Huene', 'Jerry Katell', 'George A. Sack Jr.', 'Eric Ritter']","['Action', 'Sci-Fi']","['us', 'de', 'gb']",['en'],TV-14,200000000.0,"$44,041,440, 06 Jul 2003",283000000.0,6.3,359737.0,02 Jul 2003 (Canada),Terminator 3: Rise of the Machines,Jonathan Mostow,James Cameron,Gale Anne Hurd,Moritz Borman,Matthias Deyle,C-2 Pictures,Intermedia Films,Marco Beltrami,Nicolas De Toth,Don Burgess,Jay Hart,Mark S. Constance,Julie Adrianson-Neary
2003,Charlie's Angels: Full Throttle,0305357,106,"['Cameron Diaz', 'Drew Barrymore', 'Lucy Liu', 'Bernie Mac', 'Crispin Glover', 'Justin Theroux', 'Robert Patrick', 'Demi Moore', 'Rodrigo Santoro', 'Shia LaBeouf', 'Matt LeBlanc', 'Luke Wilson', 'John Cleese', ""Ja'net DuBois"", 'Cheung-Yan Yuen', 'Daxing Zhang', 'John Chow', 'Bruce Comtois', 'Khin-Kyaw Maung', 'Russell Bobbitt', 'Charles Townsend', 'Al Kahn', 'Bela Karolyi', 'Tanoai Reed', 'Joshua Miller', 'Clifford Happy', 'Mushond Lee', 'Robert Forster', 'Andrew Wilson', 'Eric Bogosian', 'Travis Bobbitt', 'Eve', 'Ricky Carmichael', 'Chris Gosselaar', 'Carey Hart', 'Jeremy McGrath', 'Pink', 'Guy Oseary', 'Mark Cotone', 'Carrie Fisher', 'Zack Shada', 'Ed Robertson', 'Jennifer Gimenez', 'Kate Hendrickson', 'Josh Janowicz', 'Shanti Lowry', 'Kasey Campbell', 'Nadine Ellis', 'Hannah Feldner-Shaw', 'Cyia Batten', 'Staci B. Flood', 'Carmit Bachar', 'Hayley Zelniker', 'Tommy Flanagan', 'Chris Pontius', 'Jonas Barnes', 'Luke Massy', 'Big Boy', 'Anthony Griffith', 'Wayne Federman', 'Steve Hytner', 'Leo Moctezuma', 'Gabriel Paige', 'Marc John Jefferies', 'Shawn Huang', 'Michael Guarnera', 'Bob Stephenson', 'John Forsythe', 'Joan Blair', 'Mark Gantt', 'Ashley Olsen', 'Mary-Kate Olsen', 'Lou Slaughter', 'Jaclyn Smith', 'Sven-Ole Thorsen', 'Bruce Willis', 'Zachary Woodlee']","['Action', 'Adventure', 'Comedy', 'Crime']",['us'],"['en', 'cmn', 'es']",TV-14,120000000.0,"$37,634,221, 29 Jun 2003",158345677.0,4.9,115321.0,26 Jun 2003 (Singapore),Charlie's Angels: Full Throttle,McG,Ivan Goff,Ben Roberts,Drew Barrymore,Patrick Crowley,Columbia Pictures,Flower Films,Edward Shearmur,Wayne Wahrman,Russell Carpenter,Lauri Gaffin,Melody Beam,Blondel Aidoo
2003,The Lord of the Rings: The Return of the King,0167260,201,"['Noel Appleby', 'Ali Astin', 'Sean Astin', 'David Aston', 'John Bach', 'Sean Bean', 'Cate Blanchett', 'Orlando Bloom', 'Billy Boyd', 'Sadwyn Brophy', 'Alistair Browning', 'Marton Csokas', 'Richard Edge', 'Jason Fitch', 'Bernard Hill', 'Ian Holm', 'Bruce Hopkins', 'Ian Hughes', 'Lawrence Makoare', 'Ian McKellen', 'Bret McKenzie', 'Sarah McLeod', 'Maisy McLeod-Riera', 'Dominic Monaghan', 'Viggo Mortensen', 'John Noble', 'Paul Norell', 'Miranda Otto', 'Bruce Phillips', 'Shane Rangi', 'John Rhys-Davies', 'Todd Rippon', 'Thomas Robins', 'Andy Serkis', 'Harry Sinclair', 'Peter Tait', 'Joel Tobeck', 'Liv Tyler', 'Karl Urban', 'Stephen Ure', 'Hugo Weaving', 'David Wenham', 'Elijah Wood', 'Alan Howard', 'Sala Baker', 'Robert Pollock', 'Ross Duncan', 'Pete Smith', 'Jed Brophy', 'Lee Hartley', 'Billy Jackson', 'Katie Jackson', 'Phil Grieve', 'Brad Dourif', 'Christopher Lee', 'Bruce Spence', 'Jane Abbott', 'Gino Acevedo', 'Aidan Bell', 'Jarl Benzon', 'Jørn Benzon', 'Luke Burnyeat', 'Robert Catto', 'Emma Deakin', 'Michael Elsworth', 'Clint Elvy', 'Zo Hartley', 'Peter Jackson', 'Sandro Kopp', 'Andrew Lesnie', 'Joseph Mika-Hunt', 'Henry Mortensen', 'Craig Parker', 'Rick Porras', 'Christian Rivers', 'Michael Semanick', 'Howard Shore', 'John Stephenson', 'Richard Taylor', 'Royd Tolkien']","['Adventure', 'Drama', 'Fantasy']","['nz', 'us']","['en', 'qya', 'ang', 'sjn']",PG-13,94000000.0,,,8.9,1535829.0,17 Dec 2003 (Austria),The Lord of the Rings: The Return of the King,Peter Jackson,J.R.R. Tolkien,,Peter Jackson,Michael Lynne,New Line Cinema,WingNut Films,Howard Shore,Jamie Selkirk,Andrew Lesnie,Dan Hennah,Marc Ashton,Gino Acevedo
2003,Elf,0319343,97,"['Will Ferrell', 'James Caan', 'Bob Newhart', 'Edward Asner', 'Mary Steenburgen', 'Zooey Deschanel', 'Daniel Tay', 'Faizon Love', 'Peter Dinklage', 'Amy Sedaris', 'Michael Lerner', 'Andy Richter', 'Kyle Gass', 'Artie Lange', 'Leon Redbone', 'Ray Harryhausen', 'Claire Lautier', 'Ted Friend', 'Patrick Ferrell', 'Patrick McCartney', 'Jon Favreau', 'Lydia Lawson-Baird', 'Brenda McDonald', 'Annie Brebner', 'Luke Pohl', 'Meghan Black', 'Patrick Baynham', 'Michael Roberds', 'Peter A. Hulne', 'Patrick Hulne', 'Richard Side', 'David Avalon', 'Kristian Ayre', 'Lorin Heath', 'Dillard Brinson', 'Brad Turner', 'David Berenbaum', 'Brenda Crichlow', 'Oscar Goncalves', 'Mary Black', 'Murray Jack', 'Mark Acheson', 'Robin Mossley', 'Paul Schofield', 'Matt Walsh', 'Will McCormack', 'Gus Michael', 'Alexandra Michael', 'Terry J. Scarlatos', 'Jonathan Bruce', 'Akeem A. Smith', 'Michael Christopher Fischetti', 'Jane Bradbury', 'Peter Billingsley', 'Craig Castaldo', 'Natasha Denis', 'Graeme Duffy', 'Maurice LaMarche', 'Rachel Lana Li', 'Dal McKennon', 'Nance Nickels', 'Albert Precourt', 'Reginald Colin Rowley', 'Jamie Vergan']","['Comedy', 'Family', 'Fantasy', 'Romance']",['us'],['en'],TV-PG::(L),33000000.0,"$31,113,501, 09 Nov 2003",47044933.0,6.9,195459.0,07 Nov 2003 (Canada),Elf,Jon Favreau,David Berenbaum,,Kent Alterman,Jon Berg,New Line Cinema,Guy Walks into a Bar Productions,John Debney,Dan Lebental,Greg Gardiner,Johanne Hubert,Kristin Bernstein,Simon Alexander
2003,Dogville,0276919,178,"['Nicole Kidman', 'Harriet Andersson', 'Lauren Bacall', 'Jean-Marc Barr', 'Paul Bettany', 'Blair Brown', 'James Caan', 'Patricia Clarkson', 'Jeremy Davies', 'Ben Gazzara', 'Philip Baker Hall', 'Thom Hoffman', 'Siobhan Fallon Hogan', 'John Hurt', 'Zeljko Ivanek', 'John Randolph Jones', 'Udo Kier', 'Cleo King', 'Miles Purinton', 'Bill Raymond', 'Chloë Sevigny', 'Shauna Shim', 'Stellan Skarsgård', 'Evelina Brinkemo', 'Anna Brobeck', 'Tilde Lindgren', 'Evelina Lundqvist', 'Helga Olofsson', 'Ulf Andersson', 'Jan Coster', 'Mattias Fredriksson', 'Andreas Galle', 'Barry Grant', 'László Hágó', 'Niklas Henriksson', 'Mikael Johansson', 'Hans Karlsson', 'Lee R. King', 'Oskar Kirkbakk', 'Ingvar Örner', 'Erich Silva', 'Kent Vikmo', 'Eric Voge', 'Ove Wolf']","['Crime', 'Drama']","['dk', 'nl', 'se', 'de', 'gb', 'fr', 'fi', 'no', 'it']",['en'],R,,,,8.0,129196.0,21 May 2003 (Belgium),Dogville,Lars von Trier,Lars von Trier,,Gillian Berrie,Bettina Brokemper,Zentropa Entertainments,Isabella Films B.V.,,Molly Malene Stensgaard,Anthony Dod Mantle,Simone Grau Roney,Anders Barlebo,Ian Bach
2003,The Matrix Reloaded,0234215,138,"['Ray Anthony', 'Christine Anu', 'Andy Arness', 'Alima Ashton-Sheibu', 'Helmut Bakaitis', 'Steve Bastoni', 'Don Battee', 'Monica Bellucci', 'Daniel Bernhardt', 'Valerie Berry', 'Ian Bliss', 'Liliana Bogatko', 'Michael Budd', 'Stoney Burke', 'Kelly Butler', 'Josephine Byrnes', 'Noris Campos', 'Collin Chou', 'Paul Cotter', 'Marlene Cummins', 'Attila Davidhazy', 'Essie Davis', 'Terrell Dixon', 'Nash Edgerton', 'Laurence Fishburne', 'Gloria Foster', 'David Franklin', 'Austin Galuppo', 'Nona Gaye', 'Daryl Heath', 'Roy Jones Jr.', 'Malcolm Kennard', 'David Kilde', 'Randall Duk Kim', 'Christopher Kirby', 'Peter Lamb', 'Nathaniel Lees', 'Harry Lennix', 'Tony Lynch', 'Robert Mammone', 'Joshua Mbakwe', 'Matt McColm', 'Scott McLean', 'Chris Mitchell', 'Steve Morris', 'Carrie-Anne Moss', 'Tory Mussett', 'Rene Naufahu', 'Robyn Nevin', 'David Will No', ""Genevieve O'Reilly"", 'Socratis Otto', 'Harold Perrineau', 'Jada Pinkett Smith', 'Montaño Rain', 'Adrian Rayment', 'Neil Rayment', 'Rupert Reid', 'Keanu Reeves', 'David Roberts', 'Shane C. Rodrigo', 'Nick Scoggin', 'Kevin Scott', 'Tahei Simpson', 'Frankie Stevens', 'Nicandro Thomas', 'Gina Torres', 'Andrew Valli', 'Steve Vella', 'John Walton', 'Clayton Watson', 'Hugo Weaving', 'Cornel West', 'Leigh Whannell', 'Bernard White', 'Lambert Wilson', 'Anthony Brandon Wong', 'Anthony Zerbe']","['Action', 'Sci-Fi']",['us'],"['en', 'fr']",R,150000000.0,"$91,774,413, 18 May 2003",,7.2,488629.0,15 May 2003 (Belgium),The Matrix Reloaded,Lana Wachowski,Lilly Wachowski,Lana Wachowski,Bruce Berman,David Forbes,Warner Bros.,Village Roadshow Pictures,Don Davis,Zach Staenberg,Bill Pope,,Deborah Antoniou,Aurelia Abate
2003,Kill Bill: Vol. 1,0266697,111,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Daryl Hannah', 'David Carradine', 'Michael Madsen', 'Julie Dreyfus', 'Chiaki Kuriyama', ""Shin'ichi Chiba"", 'Chia-Hui Liu', 'Michael Parks', 'Michael Bowen', 'Jun Kunimura', 'Kenji Ohba', 'Yuki Kazamatsuri', 'James Parks', 'Sakichi Sato', 'Jonathan Loughran', 'Yoshiyuki Morishita', 'Tetsuro Shimaguchi', 'Kazuki Kitamura', 'Yôji Tanaka', 'Issey Takahashi', 'Sô Yamanaka', 'Juri Manase', 'Akaji Maro', 'Goro Daimon', 'Shun Sugata', 'Jin Zhan Zhang', 'Xiaohui Hu', 'Ambrosia Kelley', 'Sachiko Fujii', 'Yoshiko Yamaguchi', 'Ronnie Yoshiko Fujiyama', 'Shu Lan Tuan', 'Ai Maeda', 'Naomi Kusumi', 'Hikaru Midorikawa', 'Michael Kuroiwa', 'Christopher Allen Nelson', 'Stevo Polyi']","['Action', 'Crime', 'Thriller']","['us', 'jp']","['en', 'ja', 'fr']",R,30000000.0,"$22,089,322, 12 Oct 2003",,8.1,933662.0,10 Oct 2003 (Canada),Kill Bill: Vol. 1,Quentin Tarantino,Quentin Tarantino,,Lawrence Bender,Mitsuhisa Ishikawa,Miramax,A Band Apart,RZA,Sally Menke,Robert Richardson,Yoshihito Akatsuka,Jo Chan,Kevin Braun
2003,Oldeuboi,0364569,120,"['Min-sik Choi', 'Ji-Tae Yoo', 'Hye-jeong Kang', 'Dae-han Ji', 'Dal-su Oh', 'Byeong-ok Kim', 'Seung-shin Lee', 'Jin-Seo Yoon', 'Dae-yeon Lee', 'Kwang-rok Oh', 'Tae-kyung Oh', 'Yeon-Seok Yoo', 'Il-han Oo', 'Su-hyeon Kim', 'Seung-jin Lee', 'Su-kyeong Yun', 'Myung-shin Park', 'Dae-han Chi', 'Yi Yong', 'Joe Cappelletti', 'Mari Devon', 'Crispin Freeman', 'Steve Kramer', 'Sherry Lynn', 'Michael McConnohie', 'Stephanie Sheh', 'Kirk Thornton', 'Kari Wahlgren']","['Action', 'Drama', 'Mystery', 'Thriller']",['kr'],['ko'],R,3000000.0,,14980005.0,8.4,473354.0,21 Nov 2003 (South Korea),Oldboy,Chan-wook Park,Garon Tsuchiya,,Jae-Duk Han,Dong-Joo Kim,CJ Entertainment,Egg Films,Yeong-wook Jo,Sang-beom Kim,Chung-hoon Chung,Hong-sam Yang,,C. Jin Im
