name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
Little Deaths,tt1843967,1843967.0,11,,"['Documentary', 'Animation', 'Biography']","['us', 'gb']",['en'],,,,,6.3,16.0,Oct 2010 (Canada),Little Deaths,Ruth Lingford,Ruth Lingford,,Ruth Lingford,,,,,Terah Maher,,,,
Vem?,tt6447866,6447866.0,,,None,,,,,,,,,26 Sep 2010 (Sweden),Vem?,,,,,,,,,,,,,
The Bacchae,tt1819690,1819690.0,85,"['Stratos Tzortzoglou', 'Hristos Sougaris', 'Ioanna Pagiataki', 'Costas Sadas', 'Vassilis Vassiliakis']",['Drama'],['gr'],,,,,,7.4,10.0,,The Bacchae,Bruno Coppola,Euripides,,Bruno Coppola,Nikos Timpanidis,National Theater of Northern Greece,,Kostas Vomvolos,Tina Chamberlain,Bruno Coppola,,,
Butterfly Wings,tt1528276,1528276.0,48,"['Nisha Aggrawal', 'Ravi Butani', 'Subhashani Dewada', 'Satwant Dutta', 'Jagat Joon', 'Dusyant Kumar', 'Mark Lovejoy', 'Anil Monga', 'Neel Mony', 'Vaishali Ray', 'Abhimanu Sharma', 'Manish Kumar Srivastava', 'Subhashani Vinimay']","['Biography', 'Drama', 'Family']","['in', 'us']",['en'],Not Rated,,,,,,05 Feb 2010 (India),Butterfly Wings,Sanjay Arora,Sanjay Arora,,Sanjay Arora,,Filmmaker Online Productions,,Peter Eisenhauer,Manas Mishra,Ashish Dhir,,Jagat Joon,
In Focus,tt1502409,1502409.0,,"[""Ro' Black"", 'Dustin Brooks', 'Tom Corey', 'Lauren Davis', 'Anthony Ford', 'Noah Vincent Ford', 'Tom Galup', 'Ramon Hamilton', 'Matthew Hobin', 'Matt Lagan', 'Carl LaRocco', 'Ashton Leigh', 'Jaclyn Marfuggi', 'Chad Mathews', 'Shary Nassimi', 'Jeff Spies']",['Drama'],['us'],['en'],,,,,8.6,5.0,,In Focus,Jay Bluemke,Fred Samia,,Jay Bluemke,Jennifer Fischer,Santa Clarita Valley Film Festival,,,Jennifer Fischer,Daniel Cotroneo,,Samantha Prindle,
Half Way,tt1482854,1482854.0,127,"['Kevin Foster', 'Debra Olson-Tolar', 'Molly McColgan', 'Joshua Collins', 'Brandon Miradi', 'Carrie Lazar', 'Shawn Dreben', 'John Loprieno', 'Michelle Mania', 'Bill Doyle', 'Alexander Morse', 'Garret Davis', 'Marc Scizak', 'Ralf Koch', 'C.J. Brown', 'Tyler Vogt', 'Jeanne Harrison', 'Sandy Villetti']",['Drama'],['us'],['en'],,,,,8.1,19.0,2012 (USA),Half Way,Kevin Foster,Kevin Foster,,Michael Hugghins,John Sauer,Freebody Films,,Justin Sheehy,,,Thomas Reynolds,Jenifer Ellis,
Good Deed,tt1815724,1815724.0,105,"['Ashley Ali J.', 'Allen Phoenix', 'Anthony Donaldson', 'Anitra Cherie', 'Tia Shaye', 'Jimmie Green', 'Curtis Gammage', 'Thina Lowe', 'Michael Allen', 'Dion Hunter', 'Sean Garvey', 'Rahn Anthoni', 'Kidd Money', 'Erica Mills', 'Ethan Gammage', 'Sanai Gammage', 'Miles Gammage', 'Sean Miller', 'S. Jelani Warren', 'Omari Bell', 'Paul Lattimore', 'Chris Raymore', 'Orlando Delgado', 'Shoulander Atwaters', 'Ciera Wright', 'Tiera Wright']","['Crime', 'Drama', 'Romance', 'Thriller']",['us'],['en'],,17000.0,,,,,,Good Deed,Curtis Gammage,Curtis Gammage,,Curtis Gammage,Thina Lowe,,,Rahn Anthoni,Thina Lowe,Curtis Gammage,,,Thina Lowe
The Last Man,tt1741675,1741675.0,88,"['Kerry Bennett', 'Albey Brookes', 'Alexandra Harris', 'Alice Henley', 'Ryan Read-Gaterell', 'Louis Waite']",['Horror'],['gb'],['en'],,,,,3.2,27.0,30 Oct 2010 (UK),The Last Man,Alex Murray,Alex Murray,,Lionel Hicks,Steve Jaggi,Creative Outlaw,Silver Edge Studios,Robert Murray,Robert Langley,Robert Langley,,,Robert Langley
Smart Girls,tt1725816,1725816.0,24,"['Marina Vodenicar', 'Karla Brbic', 'Edhem Husic', 'Enes Salkovic']","['Short', 'Comedy', 'Drama']","['hr', 'ba']",['bs'],,,,,7.9,56.0,,Smart Girls,Hana Jusic,Hana Jusic,,Amra Baksic Camo,Adis Djapo,Sarajevo Film Festival,,,Timur Makarevic,Marko Brdar,,Amra Mehic,
Border Line,tt1731753,1731753.0,140,"['Alex Ghiglione', 'Flavio Bucci', 'Alessia Fabiani', 'Francesca Rettondini', 'Ilaria Calza', 'Adriano Bettinelli', 'Enzo Storico', 'Luca Cabriolu', 'Davide Giliberti', 'Caterina Francesca Mazzucco', 'Elena Ramognino']",['Thriller'],['it'],['it'],,,,,7.0,7.0,,Border Line,Roberto Lippolis,Roberto Lippolis,,Cédric Gonella,Daniele Gramiccia,Gonella Productions,Gruppo Orizzonti Produzioni,,,,,,
One Life,tt1664753,1664753.0,91,"['Nathan Fehr', 'Jenessa Freeheart', 'Wess Freeheart', 'Tom Friesen', 'Jeremy Giesbrecht', 'Vortexico Manshine', 'Jake Peters', 'Aynsley Wall', 'Kayla Wall', 'Steve Wall']","['Comedy', 'Drama', 'Mystery']",['ca'],['en'],,,,,,,,One Life,Michael J. Klassen,Michael J. Klassen,,Michael J. Klassen,,,,Andrew Rietze-Fehr,Michael J. Klassen,Michael J. Klassen,,,
