name,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects,id,fid
Jonah: A VeggieTales Movie,82,"['Phil Vischer', 'Mike Nawrocki', 'Tim Hodge', 'Lisa Vischer', 'Shelby Morimoto', 'Dan Anderson', 'Kristin Blegen', 'Jim Poole', 'Ron Smith', 'Sarah Catherine Brooks', 'Adam Frick', 'Paige Craig', 'Michael Harrison', 'Amy Howard', 'Chris Geiger', 'Tracy Johnson', 'Bob Landon', 'Paul Kaiser', 'Rebekah Litfin', 'Shari Martin', 'Joshua Quinn Lindsay', 'Laura Richey', 'Brian Roberts', 'Jon Reich', 'Christy Sumner', 'John Trauscht', 'Ellen Silvestri', 'Nathan Tungseth', 'Elizabeth West', 'Melissa Abenti', 'Jay Elder', 'Amanda Fragale', 'Steve Hullfish', 'Ken Greene', 'Lennie Jarrat', 'Buddy Lewis', 'Alan Millman', ""Patty O'Kelley"", 'Tim Toll', 'Kenya Raichart', 'Marc Vulcano', 'John Wahba', 'David Watson', 'G. Bock']","['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Musical']","['us', 'gb']",['en'],G,14000000.0,"$6,201,345, 06 Oct 2002",,6.5,3684.0,04 Oct 2002 (USA),Jonah: A VeggieTales Movie,Mike Nawrocki,Phil Vischer,Mike Nawrocki,Terry Botwick,Ameake Owens,Big Idea Productions,Family Home Entertainment (FHE),Kurt Heinecke,John Wahba,,,,Nicole Allen,tt0298388,298388.0
Pure,96,"['Harry Eden', 'Vinnie Hunter', 'Molly Parker', 'David Wenham', 'Nitin Ganatra', 'Levi Hayes', 'Keira Knightley', 'Rupert Procter', 'Bronson Webb', 'Marsha Thomason', 'Geraldine McEwan', 'Tyler J. Smart', 'Karl Johnson', 'Mona Hammond', 'Julia Deakin', 'Mia Soteriou', 'Robert Hands', 'Gary Lewis', 'Kate Ashfield', 'Jessica Hynes', 'Russell Barr', 'Bea Guard', 'Alan Turkington', 'Kathryn Pogson', 'Tamsin Greig']",['Drama'],['gb'],['en'],R,,,,6.9,2469.0,02 May 2003 (UK),Pure,Gillies MacKinnon,Alison Hume,,Amit Barooah,Robert Bevan,A Bad Way Ltd.,Kudos Productions Ltd.,Nitin Sawhney,Pia Di Ciaula,John de Borman,Sophie Newman,Ben Dixon,Hal Couzens,tt0308772,308772.0
Love Liza,90,"['Philip Seymour Hoffman', 'J.D. Walsh', 'Jimmy Raskin', 'Kathy Bates', 'Erika Alexander', 'Sarah Koskoff', 'Mark Hannibal', 'Jim Wise', 'Trace Turville', 'Wayne Duvall', 'Stephen Tobolowsky', 'Kevin Breznahan', 'Jennifer Keddy', 'David Lenthall', 'Jack Kehler', 'Pauline Boyd', 'Ernest Perry Jr.', 'Cullen Douglas', 'Joanne Pankow', 'Dan Klass', 'Chris Ellis', 'George Mills', 'Julia Lashae', 'Don Hood', 'John McConnell', 'Terry Loughlin', 'Maggie Valentine', 'Teegan Eley', 'Morgan Grace Jarrett', 'Daniel Farber', 'Kelli Garner', 'Shannon Holt', 'Annie Morgan', 'Jennifer Bransford', 'F.X. Vitolo', 'Jeff Yesko']","['Comedy', 'Drama']","['fr', 'de', 'us']",['en'],R,1000000.0,,,7.0,6959.0,31 Jan 2003 (UK),Love Liza,Todd Louiso,Gordy Hoffman,,Ruth Charny,Yvette Cobarrubias,Kinowelt Filmproduktion,Wild Bunch,Jim O'Rourke,Anne Stein,Lisa Rinzler,Brenna Griffin,Brian Pitt,Reid Burns,tt0282698,282698.0
The Abduction Club,96,"['Alice Evans', 'Daniel Lapaine', 'Sophia Myles', 'Matthew Rhys', 'Liam Cunningham', 'Edward Woodward', 'Patrick Malahide', 'John Arthur', 'Tom Murphy', 'Terry Byrne', 'Guy Carleton', 'Fedelma Cullen', 'Alexander Downes', 'Halina Froudist', 'Peter Gaynor', 'Michael Grennell', 'Sharon Hogan', 'Frank Laverty', 'Patrick Leech', 'Liz Lloyd', ""Noel O'Donovan"", ""Maire O'Neill"", 'Richard Owens', 'Ben Palmer', 'Amy Shiels', 'Vincent Walsh', 'Stephen Milton']","['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']","['gb', 'fr', 'ie', 'de']","['en', 'it']",,,,,6.7,1628.0,19 Jul 2002 (UK),The Abduction Club,Stefan Schwartz,Bill Britten,,David Collins,Howard Gibbins,Canal+,Film Council,Shaun Davey,Pamela Power,Howard Atherton,Katie Spencer,Aoife Bairead,Fabienne Arbogast,tt0264333,264333.0
The Slaughter Rule,112,"['Ryan Gosling', 'David Morse', 'Clea DuVall', 'David Cale', 'Eddie Spears', 'Kelly Lynch', 'Amy Adams', 'Ken White', 'Noah Watts', 'Kim DeLong', 'Geraldine Keams', 'Douglas Sebern', 'Cody Harvey', 'Melkon Andonian', 'J.P. Gabriel', 'Chris Offutt', 'John Henry Marshall', 'Juliana F. Clayton', 'Volley Reed', 'H.A. Smith', 'Michael Mahony', 'Alison Tatlock', 'Betty Ann Conard', 'Michael Dunlap', 'Wylie Gustafson', 'Perle Weissman', 'David Wiater', 'Tim Boggs', 'Matt Cornelius', 'Nate McClure', 'Matt Pipinich', 'Paul Pipinich', 'Jesse Sidor', 'Michael Smart', 'Ben Snipes', 'Miles Gravage', 'Philip Heron', 'Karlee Jane']","['Drama', 'Sport']",['us'],['en'],R,500000.0,"$1,461, 12 Jan 2003",,6.0,2244.0,14 Sep 2002 (Greece),The Slaughter Rule,Alex Smith,Alex Smith,Andrew J. Smith,Christopher Cronyn,Josh Fagin,Solaris,,Jay Farrar,Brent White,Eric Alan Edwards,,Simona Aranda,,tt0266971,266971.0
Shooters,95,"['Adrian Dunbar', 'Andrew Howard', 'Louis Dempsey', 'Gerard Butler', 'Jason Hughes', 'Matthew Rhys', 'Ioan Gruffudd', 'Jamie Sweeney', 'Melanie Lynskey', 'Emma Fielding', 'David Kennedy', 'Joe Swash', 'Ranjit Krishnamma', 'Nitin Ganatra', 'Walter Roberts', 'Teddy Nygh', 'Mike Martin', 'Glenn Durfort', 'Treva Etienne', 'James Keegan', 'Tom Keegan', 'Katy Howard', 'Cassie Gill', 'Sam Ashton', 'Joel Samuels', 'Patrice Ettienne', 'Robert Ryan Denton', 'Leon Black', 'Barry McNicholl', 'Adam Deacon', 'Gemma McLuskie', 'Melanie Martinez', 'Lee Turnbull', 'Daniel Scott-Croxford', 'Amy Scarth', 'Zara Ashton', 'Tucker Stevens', 'Raquel Cassidy', 'Stephen Evans', 'Ali Wilson', 'Sheryl Gannaway', 'Katherine Gillem', 'Tim Plester', 'Marc Hobbs', 'Joanne Young', 'Neil Howard', 'Lawrence Gonthier', 'Peter Orchard', 'Ben McDougall']","['Crime', 'Drama', 'Thriller']","['gb', 'nl', 'us']",['en'],R,,,,5.6,1077.0,25 Jan 2002 (UK),Shooters,Glenn Durfort,Louis Dempsey,,Margery Bone,Will Bone,Catapult Productions,Cool Beans Limited,Kemal Ultanur,Kevin Whelan,Tom Erisman,Rebecca Bazzard,Aidan Boulter,,tt0278035,278035.0
Girl Fever,98,"['Chad Donella', 'Jennifer Morrison', 'Erinn Bartlett', 'Steve Monroe', 'Chene Lawson', 'Juleah Weikel', 'A.J. Buckley', 'Clint Howard', 'Dublin James', 'Jackie Katzman', 'Crystal Kwon', 'Kate Lombardi', 'Jill Ritchie', 'Jimmie F. Skaggs', 'Suyun Kim', 'Danielle Burgio', 'Richard Tanner', 'Debbie Entin', 'Pete Leal', 'Craig Borden', 'Ehud Bleiberg', 'Jennifer Fragoso', 'Chuck Borden', 'Jude McVay', 'Pedro Barreira', 'Paul Farber', 'Todd Fulkerson', 'Melissa Stone']","['Comedy', 'Romance']",['us'],['en'],R,,,,5.0,2325.0,18 Oct 2002 (Spain),Girl Fever,Michael Davis,Michael Davis,,Ehud Bleiberg,Richard Finney,Dream Entertainment,F.A.M.E. Film & Music Entertainment AG,John Coda,Kevin D. Ross,James Lawrence Spencer,Jackie Carr,Craig Borden,Joseph Grossberg,tt0265010,265010.0
Unconditional Love,124,"['Jonathan Pryce', 'Ashley Anne Ayer', 'Kaja Stiglic', 'Lisa Nicole Wilkerson', 'Kathy Bates', 'Dan Aykroyd', 'Beth Littleford', 'Amo Gulinello', 'Meredith Eaton', 'Bitty Schram', 'Charlotte Zucker', 'Susan Breslau', 'Brenda Pickleman', 'Karen Vaccaro', 'William Dambra', 'Elisabeth Oas', 'Peter Sarsgaard', 'Rebekah Nanfria', 'Pat Finn', 'Michael Campbell', 'Daniel Campbell', 'Jack Noseworthy', 'Rosalee Mayeux', 'Catherine Curtin', 'Marilyn Dodds Frank', 'Nancy Sellers', 'Rose Abdoo', 'Tim Bohn', 'Joel McKinnon Miller', 'Peggy Kusinski-Kinander', 'Sia A. Moody', 'Anne Lambton', 'David Darlow', 'Sarah Peirse', 'Dan Wyllie', 'Rupert Everett', 'Lynn Redgrave', 'Marcia Warren', 'Richard Briers', 'Stephanie Beacham', 'Philippa Stanton', 'Heather Goldenhersh', 'Gregor Truter', 'Stephen Marcus', 'Ian Noble', 'Martin Herdman', 'Gwenllian Davies', 'David Ryall', 'Roddy Maude-Roxby', 'Javanley Washington', 'Bill Noble', 'Rudy Roberson', 'William J. Brookes', 'Nancy Boykin', 'Eyal Podell', 'Greg Pitts', 'Roderick Peeples', 'Julie Andrews', 'Barry Manilow', 'Sally Jessy Raphael', 'Karen Cole', 'Steve Abbott', 'Anthony J. Caruso', 'Ed Cray', 'Don Elkins', 'Mark Finney', 'Judy Carmen Gonzalez', 'James Hoelzel', 'Fred Lusch', 'Maureen Mendoza', 'Larry Nazimek', ""Cornelia Hayes O'Herlihy"", 'Laura Orrico', 'Alan Sciranko', 'John Stemberg', 'Doug Wax']","['Comedy', 'Drama', 'Musical', 'Romance', 'Thriller']",['us'],['en'],PG-13,,,,6.8,3434.0,23 Aug 2002 (UK),Unconditional Love,P.J. Hogan,Jocelyn Moorhouse,P.J. Hogan,Michael De Luca,Donna Grey,Avery Pix,,James Newton Howard,Robert C. Jones,Remi Adefarasin,Daniel B. Clancy,Tarik Ait Ben Ali,Andy Barrios,tt0219374,219374.0
Left Behind II: Tribulation Force,94,"['Kirk Cameron', 'Brad Johnson', 'Clarence Gilyard Jr.', 'Janaya Stephens', 'Gordon Currie', 'Chelsea Noble', 'Krista Bridges', 'Lubomir Mykytiuk', 'Christopher Bondy', 'Christie MacFadyen', 'David Macniven', 'Jason Jones', 'Leslie Carlson', 'Louis Negin', 'Elias Zarou', 'Rudy Webb', 'Howard Jerome', 'Lorn Eisen', 'Jacqueline Leung', 'Cindy Gomez', 'Brian Kaulback', 'Adam David', 'Sandi Ross', 'Eldridge Hyndman', 'Todd Faithfull', 'David Ferry', 'Susanne Sutchy', 'Karen Glave', 'Roger Dunn', 'Nicholas Tabarrok', 'Andrew Butcher', 'Josh Wittig', 'Matt van Hart', 'Robert McKenna', 'Jennifer Abee', 'Todd Bendera', 'Bob Carlisle', 'Christine Donato', 'Gary Dorsch', 'Blair Johannes', 'Russ Lee', 'Mark Bradley Morrow', 'Dimitri Pavlakos', 'Sherry Pilkins', 'Daniel Pilon', 'Peter Schindelhauer', 'Susan White', 'Moheb Yousef', 'Vivian Yousef']","['Action', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']","['us', 'ca']",['en'],PG-13,3800000.0,,,5.1,3556.0,29 Oct 2002 (USA),Left Behind II: Tribulation Force,Bill Corcoran,John Patus,Paul Lalonde,Ron Booth,Peter Lalonde,Canadian Film or Video Production Tax Credit,Cloud Ten Pictures,Gary Koftinoff,Michael Doherty,Michael Storey,Jerri Thrasher,Laurel Morgan,Jamie Hallett,tt0283644,283644.0
Ocumicho sauvé par les diables,25,,"['Documentary', 'Short']",['ch'],['fr'],,,,,,,,Ocumicho sauvé par les diables,Frédéric Choffat,,,Frédéric Choffat,Julie Gilbert,Les Films Oeil-Sud,,,,Frédéric Choffat,,,,tt1092080,1092080.0
