year,name,Movie_ID,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
2014,Guardians of the Galaxy,2015381,121,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio Del Toro', 'Laura Haddock', 'Sean Gunn', 'Peter Serafinowicz', 'Christopher Fairbank', 'Krystian Godlewski', 'Wyatt Oleff', 'Gregg Henry', 'Janis Ahern', 'Solomon Mousley', 'Lindsay Morton', 'Robert Firth', 'Melia Kreiling', 'Tom Proctor', 'Nick Holmes', 'Max Wrottesley', 'Stan Lee', 'Nicole Alexandra Shipley', 'Sharif Atkins', 'Brendan Fehr', 'Tomas Arana', 'Mikaela Hoover', 'Emmett J Scanlan', 'Dominic Grant', 'Spencer Wilding', 'Alison Lintott', 'Alexis Rodney', 'Nathan Fillion', 'Keeley Forsyth', 'Frank Gilhooley', 'Alexis Denisof', 'Enzo Cilenti', 'Richard Katz', 'Enoch Frost', 'Ronan Summers', 'Ophelia Lovibond', 'Laura Ortiz', 'Marama Corlett', 'Rosie Jones', 'Abidemi Sobande', 'Alex Rose', 'Ekaterina Zalitko', 'Emily Redding', 'Fred', 'Stephen Blackehart', 'Jennifer Moylan-Taylor', 'Bruce Mackinnon', 'Ralph Ineson', 'Rob Zombie', 'Naomi Ryan', 'John Brotherton', 'Graham Shiels', 'James Gunn', 'Douglas Robson', 'Rachel Cullen', 'Isabella Poynton', 'Imogen Poynton', 'David Yarovesky', 'Miriam Lucia', 'Raed Abbas', 'Adrian Allan', 'Freddie Andrews', 'Habib Anibaba', 'Eddie Bammeke', 'Helen Banks', 'Tyler Bates', 'Marco Biagioli', 'Richard Blenkiron', 'David Booth', 'Josh Brolin', 'Bern Collaço', 'Rowan Cox', 'Alysson Da Silva', 'Marianna Dean', 'Wayne Devlin', 'Simara Dixon', 'Jadey Duffield', 'Barny DuPlessis', 'Mark Falvo', 'Kristen Fick', 'Gracie Fitch', 'Melissa Galloway', 'Alex Gillison', 'Sophie Gooding', 'Henry Goodrich', 'Seth Green', 'Victoria Gugenheim', 'Simon Hatt', 'Lindy Hennessy', 'Leigh Holland', 'Pete Buzzsaw Holland', 'James Walton Ingham', 'Lee Edward Jones', 'Lloyd Kaufman', 'Jonathan Lipow', 'Matt Lott', 'David L. Marston', 'Matthew David McCarthy', 'Stephen McDade', 'Erica Melargo', 'Serhat Metin', 'Georgiana Mihai', 'Sandeep Mohan', 'Nigel Murfitt', 'Emeson Nwolie', 'Oreo', 'Louise Port', 'Joseph Quartson', 'Diezel Ramos', 'Deborah Rosan', 'Gordon Round', 'Steve Saunders', 'Andrew Scott-Marshall', 'Julian Seager', 'Clem So', 'Adrian South', 'Peter Theobalds', 'Wesley Von Spears', 'Paul Warren', 'Tatiana Zarubova']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['us'],['en'],TV-14::(LV),170000000.0,"$94,320,883, 03 Aug 2014",774176600.0,8.0,982561.0,31 Jul 2014 (Argentina),Guardians of the Galaxy,James Gunn,James Gunn,Nicole Perlman,Victoria Alonso,Jamie Christopher,Marvel Studios,Moving Pictures Company,Tyler Bates,Fred Raskin,Ben Davis,Richard Roberts,Jamie Christopher,Aurelia Abate
2014,Interstellar,0816692,169,"['Ellen Burstyn', 'Matthew McConaughey', 'Mackenzie Foy', 'John Lithgow', 'Timothée Chalamet', 'David Oyelowo', 'Collette Wolfe', 'Francis X. McCarthy', 'Bill Irwin', 'Anne Hathaway', 'Andrew Borba', 'Wes Bentley', 'William Devane', 'Michael Caine', 'David Gyasi', 'Josh Stewart', 'Casey Affleck', 'Leah Cairns', 'Jessica Chastain', 'William Dickinson', 'Topher Grace', 'Matt Damon', 'Flora Nolan', 'Griffen Fraser', 'Jeff Hephner', 'Lena Georgas', 'Elyes Gabel', 'Brooke Smith', 'Russ Fega', 'William Patrick Brown', 'Cici Leah Campbell', 'Mark Casimir Dyniewicz Jr.', 'Troy Fyhn', 'Benjamin Hardy', 'Alexander Michael Helisek', 'Ryan Irving', 'Alexander Lu', 'Derek McEntire', 'Joseph Oliveira', 'Benjamin Pitz', 'Marlon Sanders', 'Bryan Stamp', 'Kristian Van der Heyden', 'Kevan Weber']","['Adventure', 'Drama', 'Sci-Fi']","['us', 'gb', 'ca']",['en'],TV-MA::(L),165000000.0,"$47,510,360, 05 Nov 2014",675020017.0,8.6,1350956.0,05 Nov 2014 (Belgium),Interstellar,Christopher Nolan,Jonathan Nolan,Christopher Nolan,Kaari Autry,Jenny Basen,Paramount Pictures,Warner Bros.,Hans Zimmer,Lee Smith,Hoyte Van Hoytema,Gary Fettis,Darius de Andrade,Laide Agunbiade
2014,Gone Girl,2267998,149,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry', 'Carrie Coon', 'Kim Dickens', 'Patrick Fugit', 'David Clennon', 'Lisa Banes', 'Missi Pyle', 'Emily Ratajkowski', 'Casey Wilson', 'Lola Kirke', 'Boyd Holbrook', 'Sela Ward', 'Lee Norris', 'Jamie McShane', 'Leonard Kelly-Young', 'Kathleen Rose Perkins', 'Pete Housman', 'Lynn Adrianna', 'Mark Atteberry', 'Darin Cooper', 'Kate Campbell', 'Brett Leigh', 'Antonio St. James', 'Lauren Glazier', ""Julia Prud'homme"", 'Cooper Thornton', 'Casey Ruggieri', 'Cyd Strittmatter', 'Ashley Didion', 'Lexis Nutt', 'L.A. Williams', 'Blake Sheldon', 'Sean Guse', 'Ricky Wood', 'Fred Cross', 'Scott Takeda', 'Donna Rusch', 'Kathy Sweeney-Meadows', 'Mark T. Anderson', 'Scoot McNairy', 'Marc Abbink', 'Samuel Baca', 'Thomas R. Baker', 'Bill Blair', 'Gregoer Boru', 'Tracy Brotherton', 'Buda', 'Will C.', 'Caroline Clements', 'Brian J. Cohen', 'Andrea Conrad', 'Joey Courteau', 'Tony Cronin', 'Taber Cross', 'Darren DeLoach', 'Nancy DeMars', 'Kyle Durant', 'Tyler Ecklund', 'Lindsey Elizabeth', 'Nicolas Fagerberg', 'Bobby Greer', 'Alexander Michael Helisek', 'Kyle Hinton', 'Leslie A. Hughes', 'Davina Joy', 'Linda Kang', 'Frederick Keeve', 'Michael James Kelly', 'Philip Knight', 'Elester Latham', 'Grant Liffmann', 'Katy Marcella', 'Kirbi Mason', 'Aaron Massey', 'Matilde Matteucci', 'Saffron Mazzia', 'Orion McCabe', 'Roz McHenry', 'Bryan McKinley', 'Pamela Mills', 'Teebone Mitchell', 'Steven Moreton', 'Cole Mueller', 'Terry Myers', 'Justin Nesbitt', 'Alison Niermann', 'Keith Nussbaum', 'Brandon Oatsvall', 'Ronnie Phillips', 'Lyn Quinn', 'Tina Redmond', 'Lisa Richman', 'Emily Rollman', 'Jaclyn Rose', 'Sahlima', 'Dale Shane', 'Joel Shock', 'Rick Silver', 'Gina Johnson Smith', 'Morgan Strebler', 'Robert Tarpinian', 'James M Tweedie', 'Ire Wardlaw', 'Tracy Weisert', 'Cheryl Cruse Weston', 'Michelle Winters', 'Amy Wray']","['Drama', 'Mystery', 'Thriller']",['us'],['en'],R,61000000.0,"$37,513,109, 05 Oct 2014",369330363.0,8.1,785885.0,01 Oct 2014 (Trinidad and Tobago),Gone Girl,David Fincher,Gillian Flynn,,Ceán Chaffin,Jim Davidson,Twentieth Century Fox,Regency Enterprises,Trent Reznor,Kirk Baxter,Jeff Cronenweth,Douglas A. Mowat,Yarden Levo,Dan Akers
2014,John Wick,2911666,101,"['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen', 'Willem Dafoe', 'Dean Winters', 'Adrianne Palicki', 'Omer Barnea', 'Toby Leonard Moore', 'Daniel Bernhardt', 'Bridget Moynahan', 'John Leguizamo', 'Ian McShane', 'Bridget Regan', 'Lance Reddick', 'Keith Jardine', 'Tait Fletcher', 'Kazy Tauginas', 'Alexander Frekey', 'Thomas Sadoski', 'Randall Duk Kim', 'David Patrick Kelly', 'Clarke Peters', 'Kevin Nash', 'Gameela Wright', 'Vladislav Koulikov', 'Munro M. Bonnell', 'Patricia Squire', 'Vladimir Troitsky', 'Stefan Ackermann', 'Joseph K. Bevilacqua', 'Carolyn Blair', 'William Andrew Brewer', 'Kenneth Carrella', 'Chris Chasey', 'Samantha Crawford', 'Gioianna DiGiorgio', 'Johnny DiGiorgio', 'David Douglas', 'Annoula Dritsas', 'Thayr Harris', 'Nadia Kay', 'Dennis Keiffer', 'Natalia Kiriya', 'Ilan Krigsfeld', 'Mack Kuhr', 'Luke Lesko', 'Erik Martin', 'Meghan Mazurczyk', 'Yana Milanberg', 'Julian Mileta', 'Roman Mitichyan', 'Inna Muratova', 'Karen Nazarov', 'Joseph Oliveira', 'Luc Owono', 'Matt Parker', 'Andrew Paterini', 'Charles Pendelton', 'Brian James Pepe', 'J.J. Perry', 'Jennifer Pientka', 'Elizabeth Saint', 'Lysane Sanchez', 'Courtney Sanello', 'George Schroeder', 'Paugh Shadow', 'DiFenni Shi', 'Marija Skangale', 'Polina Strelkova', 'Tuna Tekeli', 'Manolo Tenes', 'Scott Tixier', 'Uzimann', 'Arthur Vint', 'Sam Yazbeck', 'Zenon Zeleniuch', 'Alex Ziwak']","['Action', 'Crime', 'Thriller']",['us'],"['en', 'ru', 'hu']",R,20000000.0,"$14,415,922, 13 Jan 2015",130888901.0,7.4,485420.0,23 Oct 2014 (Czech Republic),John Wick,Chad Stahelski,Derek Kolstad,,Darren Blumenthal,Sam X. Eyde,Summit Entertainment,Thunder Road Pictures,Tyler Bates,Elísabet Ronaldsdóttir,Jonathan Sela,Susan Bode,Ivan J. Fonseca,Douglas Addy
2014,Maleficent,1587310,97,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Lesley Manville', 'Imelda Staunton', 'Juno Temple', 'Sam Riley', 'Brenton Thwaites', 'Kenneth Cranham', 'Sarah Flind', 'Hannah New', 'Isobelle Molloy', 'Michael Higgins', 'Ella Purnell', 'Jackson Bews', 'Angus Wright', 'Oliver Maltman', 'Gary Cargill', ""John O'Toole"", 'Harry Attwell', 'Anthony May', 'James Hicks', 'Stephan Chase', 'Mark Caven', 'Chris Leaney', 'Jamie Maclachlan', 'Shaun Smith', 'Vivienne Jolie-Pitt', 'Eleanor Worthington-Cox', 'John Macmillan', 'Tim Treloar', 'Peter G. Reed', 'Marama Corlett', 'Liam McKenna', 'Steven Cree', 'Janet McTeer', 'Karen Anderson', 'Lasco Atkins', 'James Ayling', 'James Ballard', 'David Boat', 'Adam Bond', 'Scott Bradley', 'Sophie-Anna Brough', 'Alfred Camp', 'Max Cavenham', 'Raf Cross', 'Nick Donald', 'Terri Douglas', 'Damon Driver', 'Josh Dyer', 'Stephanie Elstob', 'Sandy Fox', 'Craig Garner', 'Sam Gibbons', 'Alex Gillison', 'Victoria Gugenheim', 'Daniel Harland', 'John Heartstone', 'Matt Hookings', 'Craig Izzard', 'Ceri Jerome', 'Pax Jolie-Pitt', 'Zahara Jolie-Pitt', 'Lee Edward Jones', 'Hrvoje Klecz', 'Alex Marek', 'Bruno Mello', 'João Costa Menezes', 'Karen Mkrtchyan', 'Matthew John Morley', 'Edd Osmond', 'Jo Osmond', 'Guy Potter', 'Marc Rolfe', 'Peter Stacey', 'Daniel Stisen', 'Richard Summers-Calvert', 'Leo Suter', 'Tom Swacha', 'Daniel Westwood', ""Christian Wolf-La'Moy""]","['Action', 'Adventure', 'Family', 'Fantasy', 'Romance']",['us'],['en'],PG,180000000.0,"$69,431,298, 01 Jun 2014",758539785.0,7.0,320212.0,28 May 2014 (Belgium),Maleficent,Robert Stromberg,Linda Woolverton,,Sarah Bradshaw,Don Hahn,Roth Films,Walt Disney Pictures,James Newton Howard,Chris Lebenzon,Dean Semler,Lee Sandales,Sam Barry-Parker,Borja Hernandez Abellan
2014,Whiplash,2582802,106,"['Miles Teller', 'J.K. Simmons', 'Paul Reiser', 'Melissa Benoist', 'Austin Stowell', 'Nate Lang', 'Chris Mulkey', 'Damon Gupton', 'Suanne Spoke', 'Max Kasch', 'Charlie Ian', 'Jayson Blair', 'Kofi Siriboe', 'Kavita Patil', 'C.J. Vana', 'Tarik Lowe', 'Tyler Kimball', 'Rogelio Douglas Jr.', 'Adrian Burks', 'Calvin C. Winbush', 'Joseph Bruno', 'Michael D. Cohen', 'Jocelyn Ayanna', 'Keenan Henson', 'Janet Hoskins', 'April Grace', ""Clifton 'Fou Fou' Eddie"", 'Marcus Henderson', 'Tony Baker', 'Henry G. Sanders', 'Sam Campisi', 'Jimmie Kirkpatrick', 'Keenan Allen', 'Ayinde Vaughan', 'Shai Golan', 'Yancey Wells', 'Candace Roberge', 'Krista Kilber', 'Shannon Adawn', 'Cici Leah Campbell', 'Damien Coates', 'Ellee Jane Hounsell', 'Stephen Hsu', 'Herman Johansen', 'Ben Key', 'Wendee Lee', 'Dakota Lupo', 'Arlo McGowan', 'Jesse Mitchell', 'Arnold Montey', 'Amanda Newman', 'Joseph Oliveira', 'Brandon Eugene Owens', 'Aaron Reihs', 'Michelle Ruff', 'Alex Stark', 'Tian Wang', 'Daniel Weidlein']","['Drama', 'Music']",['us'],['en'],TV-14::(DLV),3300000.0,"$135,388, 10 Oct 2014",48982041.0,8.5,643378.0,15 Oct 2014 (Philippines),Whiplash,Damien Chazelle,Damien Chazelle,,Jason Blum,Nicholas Britell,Bold Films,Blumhouse Productions,Justin Hurwitz,Tom Cross,Sharone Meir,Karuna Karmarkar,Arek Bagboudarian,Chris Cannavo
2014,Kingsman: The Secret Service,2802144,129,"['Adrian Quinton', 'Colin Firth', 'Mark Strong', 'Jonno Davies', 'Jack Davenport', 'Alex Nikolov', 'Samantha Womack', 'Mark Hamill', 'Velibor Topic', 'Sofia Boutella', 'Samuel L. Jackson', 'Michael Caine', 'Taron Egerton', 'Geoff Bell', 'Jordan Long', 'Theo Barklem-Biggs', 'Tobi Bakare', 'Morgan Watkins', 'Paul Kennington', 'Ralph Ineson', 'Edward Holcroft', 'Sophie Cookson', 'Nicholas Banks', 'Jack Cutmore-Scott', 'Nicholas Agnew', 'Rowan Polonski', 'Tom Prior', 'Fiona Hampton', 'Bjørn Floberg', 'Hanna Alström', 'Johanna Taylor', 'Lily Travers', 'Richard Brake', 'Andrew Bridgmont', 'Corey Johnson', 'Anne Wittman', 'Andrei Lenart', 'Simon Green', 'Lazara Storm', 'Sarah Hewson', 'Jayne Secker', 'Lukwesa Burak', 'James Clayton', 'Nick English', 'Charles Filmer', 'Bimbo Hart', 'Chester King', 'Alastair MacIntosh', 'Carlos Peres', 'Talin Agon', 'Adil Akram', 'Nathan Aldous', 'Mohammed Ali', 'David Olawale Ayinde', 'Mark Baxter', 'Roy Beck', 'Tom Bell', 'Francesca Bennett', 'Paul Biddiss', 'Paulina Boneva', 'Alexander Bracq', 'Jay E Brown', 'Jaymes Butler', 'Jamie B. Chambers', 'Daniel Chapple', 'Alan Chimes', 'Bern Collaço', 'Christoph Cordell', 'Justin Cosh', 'Graham Curry', 'Maryam Soumare Dahan', 'Leigh Dent', 'Ben Dilloway', 'Erica Emm', 'David Few-Cooper', 'Yolandi Franken', 'Demeko Frazer', 'Kevin Fyfe', 'Neve Gachev', 'Alex Gillison', 'Dave Goshorn', 'Claire Greasley', 'James Harris', 'Lee Nicholas Harris', 'Matt Harris', 'Stefanie Harris', 'John Hiorns', 'Leigh Holland', 'Matt Hookings', 'Laura Hydari', 'Tobias James-Samuels', 'Rajesh Kalhan', 'Rodion Kilinc', 'Jefferson King', 'Anna Krippa', 'Jorge Leon Martinez', 'Marian Lorencik', 'Stuart Matthews', 'Matthew David McCarthy', 'Stephen McDade', 'Allistair McNab', 'Rory Mulroe', 'Yoni Nadav', 'Cali Nelle', 'Michael Nicolae', 'Emeson Nwolie', 'Richard Ochampaugh', 'Tatsujiro Oto', 'Oliver Price', 'Milan Pulvermacher', 'Diezel Ramos', 'James Michael Rankin', 'Caroline Guy Roberta', 'Steve Saunders', 'Kelly Schembri', 'Stuart Shepherd-Garner', 'Tina Simmons', 'Clem So', 'Richard Stanley', 'Kierran Stevenson', 'Leon Symnz', 'David Terry', 'Phillip Ray Tommy', 'Damien Walters', 'Naomi Westerman', 'Daniel Westwood', 'Chris Wilson', 'Ryan Young', 'Miroslav Zaruba', 'Tatiana Zarubova']","['Action', 'Adventure', 'Comedy', 'Thriller']","['gb', 'us']","['en', 'ar', 'sv']","TV-14::(DLV, TV Rating.)",81000000.0,,414351546.0,7.7,557777.0,29 Jan 2015 (UK),Kingsman: The Secret Service,Matthew Vaughn,Jane Goldman,Matthew Vaughn,Adam Bohling,Dave Gibbons,Twentieth Century Fox,Marv Films,Henry Jackman,Eddie Hamilton,George Richmond,David Morison,Bradley James Allan,Nicolas Agenal
2014,Fury,2713180,134,"['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman', 'Michael Peña', 'Jon Bernthal', 'Jim Parrack', 'Brad William Henke', 'Kevin Vance', 'Xavier Samuel', 'Jason Isaacs', 'Anamaria Marinca', 'Alicia von Rittberg', 'Scott Eastwood', 'Laurence Spellman', 'Daniel Betts', 'Adam Ganne', 'Eric Kofi-Abrefa', 'Osi Okerafor', 'John Macmillan', 'Saul Barrett', 'Marek Oravec', 'Kyle Soller', 'Jake Curran', 'Jack Bannon', 'Branko Tomovic', 'Orion Lee', 'Vivien Bridson', 'Christian Contreras', 'Stella Stocker', 'Jacob Vonhendial', 'Lukas Rolfe', 'Leon Rolfe', 'Harry Hancock', 'Daniel Dorr', 'Bernhard Forcher', 'Edin Gali', 'Jaime FitzSimons', 'Chris Wright', 'Charlie Rotheram', 'Nick Beattie', 'Jimmy Carroll', 'Chip Dale', 'Dickon Leigh-Wood', 'Hugh Vere Nicoll', 'Xander Rawlins', 'Sam Allen', 'Mark Almond', 'James Francis Andrews', 'Daniel Ashton-Lincoln', 'Lee Asquith-Coe', 'Zach Avery', 'Ben Beaune', 'Marlon Blue', 'Sal Bolton', 'Alex Brock', 'Alex Corbet Burcher', 'Perry Burke', 'Cheryl Burniston', 'Max Cavenham', 'Jamie B. Chambers', 'James Garson Chick', 'Mark Child', 'Gavin Copeman', 'Rowan Cox', 'Josh Dyer', 'Tony Dytrych-Cowell', 'Julie Eagleton', 'Marco Flammer', 'Ricardo Freitas', 'Kevin Fyfe', 'Neve Gachev', 'Rod Glenn', 'Nick Gordon', 'Paul Gorvin', 'Dave Goshorn', 'Craig Goult', 'Roman Green', 'Joe Hallett', 'Brian Hanford', 'Ian Harding', 'Philip Harvey', 'James Henri-Thomas', 'Rich Hill', 'Phil Hodges', 'Laura Holland', 'Steven Hopwood', 'J.R. Howell', 'Eugenia Kuzmina', 'Jorge Leon Martinez', 'Sonu Louis', 'Ben Major', 'Christopher Maleki', 'Glen Mallen', 'Michael Mammoliti', 'Anthony Milton', 'Matthew John Morley', 'Taylor Murphy', 'Yoni Nadav', 'Michael Nicolae', 'Heiko Obermöller', 'Brian Perkins', 'Mac Pietowski', 'David Rae', 'Tom Redfern', 'Carl Robinson', 'Christian Sanderson', 'Alex Sark-Geissler', 'Robert Sherry', 'Mark Shrimpton', 'Clayton T. Smith', 'Nathan Dean Snyder', 'Jack Cooper Stimpson', 'Kevin Strom', 'Georgie-May Tearle', 'Todd Tetreault', 'Limahl Thomas', 'Steven F Thompson', 'Rodney Tosh', 'Rob Townsend', 'Edward Upcott', 'Mike van den Dobbelsteen', 'Miles J.D. Vedder', 'Joe Watts', 'Daniel Westwood', 'Tom Whelehan', 'John Whitby', 'Peter Willoughby', 'Chris Wilson', 'Jesse Wilson', 'Christina Wolfe', 'Brian Woodward']","['Action', 'Drama', 'War']","['us', 'cn', 'gb']","['en', 'de']",R,68000000.0,"$82,251,953, 04 Dec 2014",,7.6,393001.0,15 Oct 2014 (Jamaica),Fury,David Ayer,David Ayer,,David Ayer,Bill Block,Columbia Pictures,QED International,Steven Price,Jay Cassidy,Roman Vasyanov,Lee Gordon,Lorenzo Bertolazzi,David W. Allen
2014,Ex Machina,0470752,108,"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac', 'Sonoya Mizuno', 'Corey Johnson', 'Claire Selby', 'Symara A. Templeman', 'Gana Bayarsaikhan', 'Tiffany Pisani', 'Elina Alminas', 'Chelsea Li', 'Caitlin Morton', 'Deborah Rosan', 'Evie Wray']","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",['gb'],['en'],R,15000000.0,,38978784.0,7.7,437171.0,21 Jan 2015 (UK),Ex Machina,Alex Garland,Alex Garland,,Eli Bush,Caroline Levy,Universal Pictures International (UPI),Universal Pictures,Geoff Barrow,Mark Day,Rob Hardy,Michelle Day,Gayle Dickie,Dominic Alderson
2014,The Grand Budapest Hotel,2278388,99,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody', 'Willem Dafoe', 'Jeff Goldblum', 'Harvey Keitel', 'Jude Law', 'Bill Murray', 'Edward Norton', 'Saoirse Ronan', 'Jason Schwartzman', 'Léa Seydoux', 'Tilda Swinton', 'Tom Wilkinson', 'Owen Wilson', 'Tony Revolori', 'Larry Pine', 'Giselda Volodi', 'Florian Lukas', 'Karl Markovics', 'Volker Michalowski', 'Neal Huff', 'Bob Balaban', 'Fisher Stevens', 'Wallace Wolodarsky', 'Waris Ahluwalia', 'Jella Niemann', 'Marcel Mazur', 'Robert Bienas', 'Manfred Lindner', 'Oliver Claridge', 'Bernhard Kremser', 'Kunichi Nomura', 'Anna Rademacher', 'Heinz-Werner Jeschkowski', 'Steffen Scheumann', 'Sabine Euler', 'Renate Klein', 'Uwe Holoubek', 'Francesco Zippel', 'Enrico Hoffmann', 'Daniel Steiner', 'Marie Goyette', 'Hendrik von Bültzingslöwen', 'Paul Schlase', 'Jeno Orosz', 'Gyula Lukács', 'Darin Damjanow', 'Dar Ronge', 'Georg Rittmannsperger', 'Dirk Bossmann', 'Arwin Lobedann', 'Robin Hurlstone', 'Jutta Westphal', 'Matthias Holfert', 'Lisa Kreuzer', 'Gisela Bech', 'Birgit Müller', 'Ursula Kuhnt', 'Monika Krüger', 'Wolfram Nielacny', 'Reinhold Hegelow', 'Steffen Nixdorf', 'Rainer Reiners', 'Milton Welsh', 'Piet Paes', 'Michaela Caspar', 'Sabine Urig', 'Heike Hanold-Lynch', 'Roy Macready', 'John Peet', 'Carl Sprague', 'Golo Euler', 'Jürgen Schwämmle', 'Frank Jacob', 'Claudia Jung', 'Roman Berger', 'Michael Benthin', 'Matthias Matschke', 'Lennart Meyer', 'Alfred Hänel', 'Manpreet Gerlach', 'David Adamik', 'Moritz Hepper', 'David Cioffi', 'Lucas Hedges', 'Wolfgang Ceczor', 'Philipp Sonntag', 'Hans Martin Stier', 'Georg Tryphon', 'Gabriel Rush', 'Hannes Wegener', 'Gerald Sullivan', 'Oliver Hazell', 'Ben Howard', 'Bohumil Váchal', 'Marko Dyrlich', 'Ed Munro', 'Wendy Kay', 'Emily Lineham', 'Mario Rohn']","['Adventure', 'Comedy', 'Crime']","['de', 'us']","['en', 'fr', 'de']",R,25000000.0,,174600318.0,8.1,651646.0,26 Feb 2014 (France),The Grand Budapest Hotel,Wes Anderson,Stefan Zweig,,Wes Anderson,Eli Bush,Fox Searchlight Pictures,Indian Paintbrush,Alexandre Desplat,Barney Pilling,Robert D. Yeoman,Anna Pinnock,Tobias Asam,John J. Budion
