year,name,Movie_ID,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
2007,The Golden Compass,0385752,113,"['Nicole Kidman', 'Daniel Craig', 'Dakota Blue Richards', 'Ben Walker', 'Freddie Highmore', 'Ian McKellen', 'Eva Green', 'Jim Carter', 'Tom Courtenay', 'Ian McShane', 'Sam Elliott', 'Christopher Lee', 'Kristin Scott Thomas', 'Edward de Souza', 'Kathy Bates', 'Simon McBurney', 'Jack Shepherd', 'Magda Szubanski', 'Derek Jacobi', 'Clare Higgins', 'Charlie Rowe', 'Steven Loton', 'Michael Antoniou', 'Mark Mottram', 'Paul Antony-Barber', 'Jason Watkins', 'Jody Halse', 'Hattie Morahan', 'John Bett', 'John Franklyn-Robbins', 'Jonathan Laury', 'Tommy Luther', 'James Rawlings', 'Joao de Sousa', 'Habib Nasib Nader', 'Theo Fraser Steele', 'Bill Hurst', 'Elliot Cowan', 'Sam Hoare', 'Thomas Arnold', 'David Garrick', 'Brian Nickels', 'Gary Kane', 'Alfred Harmsworth', 'Charles Evanson', 'Patrick Cleary', 'Tarek Khalil', 'Madrios Ohannessian', 'Sandra Wolfe', 'Hewson Osbourne', 'Albert Kenrick', 'John Cartier', 'Chris Abbott', 'Alexander Mercury', 'David Forman', 'Martin Alexander', 'Jamie Anderson', 'Caridad Angus', 'Martin Ballantyne', 'Tom Barker', 'Christian Black', 'Douglas Bunn', 'Jonny Dickens', 'Clive Elkington', 'Tim Glanfield', 'Chris Hastings', 'Michael Hennessy', 'Kevin Hudson', 'Forbes KB', 'Pamela Kempthorne', 'Jose Pecino', 'David Roker', 'Frederick Roll', 'Kit Sinnett', 'John Snowden', 'Helen Soraya', 'Richard Stoker', 'Harry Taylor', 'J.P. Turner', 'John Warman', 'Spencer Wilding', 'Chris Wilson', 'Phil Wright', 'Liang Yang']","['Adventure', 'Family', 'Fantasy']","['gb', 'us']","['en', 'is', 'ru', 'fr']",PG-13,180000000.0,,346000000.0,6.1,171262.0,05 Dec 2007 (Belgium),The Golden Compass,Chris Weitz,Chris Weitz,,Bill Carraro,Toby Emmerich,New Line Cinema,Ingenious Film Partners,Alexandre Desplat,Anne V. Coates,Henry Braham,Anna Pinnock,Vic Armstrong,Jude Adamson
2007,Ratatouille,0382932,111,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Brian Dennehy', 'Peter Sohn', ""Peter O'Toole"", 'Brad Garrett', 'Janeane Garofalo', 'Will Arnett', 'Julius Callahan', 'James Remar', 'John Ratzenberger', 'Teddy Newton', 'Tony Fucile', 'Jake Steinfeld', 'Brad Bird', 'Stéphane Roux', 'Jack Bird', 'Andrea Boerries', 'Marco Boerries', 'Lindsey Collins', 'Thomas Keller', 'Bradford Lewis', 'Lori Richardson', 'Michael Giacchino']","['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",['us'],"['en', 'fr']",TV-PG::(V),150000000.0,"$47,027,395, 01 Jul 2007",,8.0,596562.0,28 Jun 2007 (Bolivia),Ratatouille,Brad Bird,Brad Bird,,John Lasseter,Bradford Lewis,Walt Disney Pictures,Pixar Animation Studios,Michael Giacchino,Darren T. Holmes,Robert Anderson,,,Jessica Abroms
2007,Transformers,0418279,144,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'Rachael Taylor', 'Anthony Anderson', 'Jon Voight', 'John Turturro', ""Michael O'Neill"", 'Kevin Dunn', 'Julie White', 'Amaury Nolasco', 'Zack Ward', 'Luis Echagarruga', 'Patrick Mulderrig', 'Brian Shehan', 'Michael Trisler', 'Ashkan Kashanchi', 'Rizwan Manji', 'William Morgan Sheppard', 'C.J. Thomason', 'Bernie Mac', 'Carlos Moreno Jr.', 'Johnny Sanchez', 'John Robinson', 'Travis Van Winkle', 'Peter Jacobson', 'Glenn Morshower', 'Frederic Doss', 'Charlie Bodin', 'Joshua Feinman', 'Chris Ellis', 'Steven Ford', 'Michael Shamus Wiles', 'Craig Barnett', 'Brian Prescott', 'Scott Peat', 'Colleen Porch', 'Brian Stepanek', 'Jamie McBride', 'Wiley M. Pickett', 'Andy Milder', 'Brian Reece', 'Samantha Smith', 'Ravi Patel', 'Rick Gomez', 'Andy Domingues', 'Mike Fisher', 'Colin Fickes', 'Tom Lenk', 'Jamison Yang', 'Esther Scott', 'Madison Mason', 'Jeremy Jojola', 'Jessica Kartalija', 'Andrew Altonji', 'Andrew Caldwell', 'J.P. Manoux', 'Pete Gardner', 'Sophie Bobal', 'Laurel Garner', 'Chip Hormess', 'Ray Toth', 'Michael Adams', 'Ron Henry', 'Benjamin Hoffman', 'Michael McNabb', 'Jason White', 'Adam Ratajczak', 'Maja Kljun', 'Michelle Pierce', 'Odette Annable', 'Bob Stephenson', 'Mason Rock Bay', 'Peter Cullen', 'Mark Ryan', 'Darius McCrary', 'Robert Foxworth', 'Jess Harnell', 'Hugo Weaving', 'Jimmie Wood', 'Reno Wilson', 'Charlie Adler', 'Mike Allen', 'Kenny Bates', 'Michael Bay', 'Cathy Beasley', 'Mark Bedell', 'James Blackburn', 'Paul Michael Bloodgood', 'Ian Bryce', 'James C. Burns', 'Matt Cannon', 'Kevin Carvell', 'Chester the Chihuahua', 'Cade Courtley', 'Michael Dane', 'Katie Danzer', 'Mary Decaro', 'Christopher M. Dukes', 'Holly Dunlap', 'Tom Everett', 'Dan Ferris', 'Michael J. Fisher', 'Sean Hampton', 'Colton Haynes', 'James A. Howard', 'Nicole Randall Johnson', 'Brad Kimberly', 'Aaron Michael Lacey', 'Joel Lambert', 'Vinnie LaRocksta', 'Julio Leal', 'Shawn Lecrone', 'Omar Benson Miller', 'Seth Miller', 'Ron Mitchell', 'Stuart G Murphy', 'Matt Noble', 'Ian Novotny', 'James R. Petix', 'Geoff Reeves', 'Jason Rogers', 'David Sampen', 'Kyle Saylors', 'Tavia Schwartz', 'Bobby Silva', 'Sean Smith', 'Ronnie Sperling', 'Arne Starr', 'Cody Taylor', 'James D. Weston II']","['Action', 'Adventure', 'Sci-Fi']",['us'],"['en', 'es']",PG-13,150000000.0,"$70,502,384, 08 Jul 2007",709709780.0,7.0,576639.0,28 Jun 2007 (Australia),Transformers,Michael Bay,Roberto Orci,Alex Kurtzman,Kenny Bates,Michael Bay,DreamWorks,Paramount Pictures,Steve Jablonsky,Tom Muldoon,Mitchell Amundsen,Rosemary Brandenburg,Kenny Bates,Mimi Abers
2007,No Country for Old Men,0477348,122,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson', 'Kelly Macdonald', 'Garret Dillahunt', 'Tess Harper', 'Barry Corbin', 'Stephen Root', 'Rodger Boyce', 'Beth Grant', 'Ana Reeder', 'Kit Gwin', 'Zach Hopkins', 'Chip Love', 'Eduardo Antonio Garcia', 'Gene Jones', 'Myk Watford', 'Boots Southerland', 'Kathy Lamkin', 'Johnnie Hector', 'Margaret Bowman', 'Thomas Kopache', 'Jason Douglas', 'Doris Hargrave', 'Rutherford Cravens', 'Matthew Posey', 'George Adelo', 'Mathew Greer', 'Trent Moore', 'Marc Miles', 'Luce Rains', 'Philip Bentham', 'Erik V. Reeves', 'Josh Meyer', 'Chris Warner', 'Brandon Smith', 'Roland Uribe', 'Richard Jackson', 'Josh Blaylock', 'Caleb Landry Jones', 'Dorsey Ray', 'Angel H. Alvarado Jr.', 'David A. Gomez', 'Milton Hernandez', 'John Mancha', 'Scott Flick', 'Albert Fry Jr.', 'Angelo Martinez', 'James Rishe', 'Elizabeth Slagsvol']","['Crime', 'Drama', 'Thriller']",['us'],"['en', 'es']",R,25000000.0,"$1,226,333, 11 Nov 2007",171627166.0,8.1,787612.0,21 Nov 2007 (USA),No Country for Old Men,Ethan Coen,Joel Coen,Ethan Coen,Ethan Coen,Joel Coen,Paramount Vantage,Miramax,Carter Burwell,Ethan Coen,Roger Deakins,Nancy Haigh,Bac DeLorme,Robert Adams
2007,Superbad,0829482,113,"['Jonah Hill', 'Michael Cera', 'Christopher Mintz-Plasse', 'Bill Hader', 'Seth Rogen', 'Martha MacIsaac', 'Emma Stone', 'Aviva Baumann', 'Joe Lo Truglio', 'Kevin Corrigan', 'Clement Blake', 'Erica Vittina Phillips', 'Joe Nunez', 'Dave Franco', 'Marcella Lentz-Pope', 'Scott Gerbacia', 'Laura Seay', 'Roger Iwami', 'John Clint Mabry', 'Stacy Edwards', 'Mark Rogen', 'Charlie Hartsock', 'Dona Hardy', 'Charley Rossman', 'Carla Gallo', 'Ben Best', 'Jody Hill', 'Kevin Breznahan', 'David Krumholtz', 'Mousa Kraish', 'Nicholas Jasenovec', 'Martin Starr', 'Keith Loneker', 'Matt McKane', 'Lauren Miller Rogen', 'Peter Salett', 'Rakefet Abergel', 'Brooke Dillman', 'Michael Naughton', 'Steve Bannos', 'Casey Margolis', 'Laura Marano', 'Matthew Bass', 'Aurora Snow', 'Jenna Haze', 'Ted Haigh', 'Michael Fennessey', 'Brian Huskey', 'Clark Duke', 'Stephen Borrello IV', 'Naathan Phan', ""Pamella D'Pella"", 'Libby A. Adams', 'Christopher L. Antie', 'Vanessa Athens', 'Georgio Balistreri', 'Darya Balyura', 'Sunny Byrd', 'Stacy Choe', 'Bob Cryer', 'Ryan de Quintal', 'Joseph DeLuca', 'Mikey Evgen', 'Erica Ford', 'Clayton Frey', 'Chelsey Goodan', 'Marc Grapey', 'Preston Jones', 'Carrie Keagan', 'Jordan Knudson', 'Suzanne LaChasse', 'Wesley Lerwill', 'Jill Maddrell', 'Danny McBride', 'Andrew Jackson Murphy', 'Rory Naughton', 'Stephen P. Nick', 'Cortney Palm', 'Nichol Pederson', 'Laura Penn', 'Mark Provencher', 'Amy Schloerb', 'Adam Sevani', 'Calvin Sykes', 'John Tremaine', 'Gregory Adam Wallace', 'Amanda Zubillaga']",['Comedy'],['us'],['en'],R::(certificate no. 43293),20000000.0,"$33,052,411, 19 Aug 2007",,7.6,494123.0,17 Aug 2007 (Canada),Superbad,Greg Mottola,Seth Rogen,Evan Goldberg,Judd Apatow,Evan Goldberg,Columbia Pictures,Apatow Productions,Lyle Workman,William Kerr,Russ T. Alsobrook,Bob Kensinger,Steven F. Beaupre,Richard Crudo
2007,Enchanted,0461770,107,"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Idina Menzel', 'Rachel Covey', 'Susan Sarandon', 'Julie Andrews', 'Jeff Bennett', 'Kevin Lima', 'Emma Rose Lima', 'Teala Dunn', 'Fred Tatasciore', 'Courtney Williams', 'William Huntley', 'Samantha Ivers', 'Elizabeth Mathis', 'Edmund Lyndeck', 'Tonya Pinkins', 'Isiah Whitlock Jr.', 'Tibor Feldman', 'Jodi Benson', 'Matt Servitto', 'Christopher Maggi', 'Muriel Kuhn', 'Marilyn Sue Perry', 'John Rothman', 'Marlon Saunders', 'Paul Klementowicz', 'Michaela Conlin', 'Cathleen Trigg', ""Paige O'Hara"", 'Danny Mastrogiorgio', 'Canedy Knowles', 'Lillian Lifflander', 'Matte Osian', 'Judy Kuhn', 'Joseph Siravo', 'Margaret Travolta', 'Tony Machine', 'Jon McLaughlin', 'Helen Stenborg', 'Anita Keal', 'Kater Gordon', 'Raymond W. Abbiw', 'Veronica Archul', 'Jonathan Arons', 'Simone Assboeck', 'Dimitre Atanasov', 'Judy Ayres', 'Kathleen Banovich', 'Barbara G. Barclay', 'Nicole Barth', 'Margery Beddow', 'Carol Bentley', 'Tom Berklund', 'Heather Berman', 'Tetyana Bilych', 'Timothy Bish', 'Corey Bradley', 'Lee Van Bradley', 'Adrian Brian', 'Lou Brock', 'Vitalii Buza', 'Michelle Aguilar Camaya', 'Oscar Campisi', 'Christa Capone', 'Iresol Cardona', 'Marcus Choi', 'Olivia Cipolla', 'Angel G. Clemente', 'Jason Colacino', 'Keltie Knight', 'Rachel B. Coppola', 'Kristine Covillo', 'Leonard J. Coyne', 'Evan Crook', 'James Cunneen', 'Paul Daggett', 'Jennifer Thomas Damalas', 'Bill Davies', 'Richard Diaz', 'James Du Chateau', 'Joey Dudding', 'Hilary Elliot', 'Harvey Evans', 'Charles Fetta', 'Michael Fielder', 'Paul Frolov', 'Linda Gammon', 'Gabriela Garcia', 'Ingrid Gartner', 'Charles Goddertz', 'Aaron Hamilton', 'Jules Helm', 'Barbara Hendel Coyne', 'Khetanya Henderson', 'Cynthia Henn', 'Seymour Hewitt', 'Bonnie Herbert Diaz', 'Betina Hershey', 'Eric Hoffman', 'Linda Rose Iennaco', 'Ruth Taveras', 'Marc Inniss', 'Joan Jaffe', 'Sydney James', 'Anna Kaiser', 'Violetta Klimczewska', 'Joseph Knebel', 'Joey Lauren Koch', 'Vicky Lambert', 'Jacey Lambros', 'Susan Lehman', 'Sarah Lewis', 'Kenneth Ley', 'George Marcy', 'Michelle Marmolejo', 'Natalie Mavor', 'Angelina McCoy', 'Richard McMurrich', 'Gilberto Melesio', 'Marina Micalizzi', 'Bert Michaels', 'Thomasz Mielnicki', 'Mayumi Miguel', 'Nell Mooney', 'Shannon Moore', 'Eric Neumann', 'Michelle Officer', 'Lance Olds', 'Adesola A. Osakalumi', 'Don Percassi', 'Jerry Petardi', 'Dawn Noel', 'Heather Gehring Plotkin', 'Donna Marie Portelli', 'Caity Quinn', 'Amir Raissi', 'Cristina Ram', 'Elizabeth Ramos', 'Kelvin Roche', 'Christopher Rodrick', 'Raymond Rodriguez', 'Luis Salgado', 'Alys Schaefer', 'Tony Scheppler', 'Barbara Schmidt', 'Paul J. Schmidt', 'Thomas Schneider', 'Nia-Imani E. Scriven', 'Carlos Sierra Lopez', 'Solomon Singer', 'Patrick Taverna', 'Mic Thompson', 'Rafael Tillis', 'Latonya Tolbert', 'Rainer Trubere', 'Regine Urbach', 'Vanessa Villalobos', 'Snejana Urbin', 'Robert Vance', 'Mayte Vicens', 'Kim Villanueva', 'Dan Weltner', 'Isabella Zubor', 'Jeff Watson', 'Rolando Morales-Matos', 'Iba Fitzgerald', 'Fatima Alonzo', 'Austin Applegate', 'Lothar Beer', 'Jessica Blandino', 'Joeann Boyd', 'Alex Blake', 'Richard Branker', 'Tyrone Brown', 'Augustin Bustamante', 'Leonel Cruz', 'Afferina English', 'Robert Fabien', 'Shandra Fallen', 'Raphael Gibbs', 'James E. Graseck', 'Pinkney Grissom', 'Kenneth Harry', 'Michael Hashim', 'Desmond Hill', 'Amelia Hoy', 'Ferdinand Huber', ""Tony 'Machine' Krasinski"", 'Renita Leonce', 'Alexander Mattis', 'Nakima McEachern', 'Frank Miroddi', 'Susan Mitchell', 'Ralph Nader', 'Sandra Park', 'Jose Pinto', 'Carlina Ramirez', 'Ángel Ramos', 'Raymond Ramos', 'Russell Ramos', 'Tashawna Reid', 'Eganam Segbefia', 'Carl Slater', 'Harvey Thompson', 'Leslie Torres', 'Donnell Tribble', 'Tony Ventura', 'Lisa Washinton', 'Kevin Patrick Wright', 'Wilbur Pauley', 'Don Abernathy', 'Tex Allen', 'Emanuele Ancorini', 'James Balsamo', 'Aj Billions', 'Robert Bizik', 'David Boston', 'Matt Brockman', 'Peter Conboy', 'Tom Coughlin', 'Dono Cunningham', 'Elli', 'John Farrer', 'Nicky Figueredo', 'Roy William Gardner', 'Thelma Gutiérrez', 'Hristo Hristov', 'Erica Huang', 'Edward M. Kelahan', 'Khafre King', 'Katharine Leonard', 'Racheline Maltese', 'Rachel Mower', 'Keith Moyer', ""Thelma O'Leary"", 'Loukas Papas', 'Vincent Petrosini', 'Shannan Leigh Reeve', 'Robert Sciglimpaglia', 'Tara Stiles', 'Paul Thornton', 'Evelyn Vaccaro', 'Gerrold Vincent', 'Bill Walters', 'Steven Weisz', 'Gail Yudain', 'Ted Yudain']","['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",['us'],['en'],PG,85000000.0,"$34,440,317, 24 Nov 2007",340487652.0,7.0,168236.0,21 Nov 2007 (Canada),Enchanted,Kevin Lima,Bill Kelly,,Mark Bright,Christopher Chase,Walt Disney Pictures,Josephson Entertainment,Alan Menken,Gregory Perler,Don Burgess,George DeTitta Jr.,G.A. Aguilar,Nathan Abbot
2007,There Will Be Blood,0469494,158,"['Daniel Day-Lewis', 'Martin Stringer', 'Matthew Braden Stringer', 'Jacob Stringer', 'Joseph Mussey', 'Barry Del Sherman', 'Harrison Taylor', 'Stockton Taylor', 'Paul F. Tompkins', 'Dillon Freasier', 'Kevin Breznahan', 'Jim Meskimen', 'Erica Sullivan', 'Randall Carver', 'Coco Leigh', 'Paul Dano', 'Ciarán Hinds', 'Sydney McCallister', 'David Willis', 'Christine Olejniczak', 'Kellie Hill', 'James Downey', 'Dan Swallow', 'Robert Arber', 'Bob Bell', 'David Williams', 'Joy Rawls', 'Louise Gregg', 'Amber Roberts', 'John W. Watts', 'Robert Caroline', 'Barry Bruce', 'Irene G. Hunter', 'Hope Elizabeth Reeves', 'John Chitwood', ""Kevin J. O'Connor"", 'David Warshofsky', 'Charles Thomas Doyle', 'Colton Woodward', 'John Burton', 'Hans Howes', 'Robert Barge', 'Ronald Krut', 'Huey Rhudy', 'Steven Barr', 'Robert Hills', 'Colleen Foy', 'Russell Harvard', 'Bob Bock', 'Vince Froio', 'Phil Shelly', 'Mary Elizabeth Barrett', 'Brad Carr', 'Kathryn A Davis', 'Rhonda Reeves', 'Beau Smith', 'Arne Starr']",['Drama'],['us'],"['en', 'ase']",R,25000000.0,"$302,845, 30 Dec 2007",77208711.0,8.1,476152.0,25 Jan 2008 (USA),There Will Be Blood,Paul Thomas Anderson,Paul Thomas Anderson,,Paul Thomas Anderson,Daniel Lupi,Paramount Vantage,Miramax,Jonny Greenwood,Dylan Tichenor,Robert Elswit,Jim Erickson,Eric Richard Lasko,Joy Carmeci
2007,Into the Wild,0758758,148,"['Emile Hirsch', 'Marcia Gay Harden', 'William Hurt', 'Jena Malone', 'Brian H. Dierker', 'Catherine Keener', 'Vince Vaughn', 'Kristen Stewart', 'Hal Holbrook', 'Jim Gallien', ""James O'Neill"", 'Malinda McCollum', 'Paul Knauls', 'Zach Galifianakis', 'Craig Mutsch', 'Jim Beidler', 'John Decker', 'John Hofer', 'Jerry Hofer', 'Terry Waldner', 'Robin Mathews', 'Candice Campos', 'Steven Wiig', 'Thure Lindhardt', 'Signe Egholm Olsen', 'Floyd Wall', 'Bryce Walters', 'Jim Davis', 'Cheryl Francis Harrington', 'R.D. Call', 'Haley Ramm', 'Merritt Wever', ""Everett 'Insane Wayne' Smith"", 'John Jabaley', 'Leonard Knight', 'Matt Contreras', 'Denise Sitton', 'Bart the Bear', 'Sharon Olds', 'Carine McCandless', 'Dan Burch', 'Joe Dustin', 'Golbon Eghtedari', 'Alvin Ellie', 'Caroline Gelabert', 'Geri Gilmore', 'Paul Haasch', 'Aaron Wayne Hill', 'Timothy Levine', 'Mad Martian', 'Parris Mosteller', 'Jenna Romero', 'Rocky Self', 'J. Nathan Simmons', 'Susan Spencer', 'Haley Sweet', 'Edward Tubbs']","['Adventure', 'Biography', 'Drama']",['us'],"['en', 'da']",R,15000000.0,"$212,440, 23 Sep 2007",,8.1,535921.0,28 Sep 2007 (Canada),Into the Wild,Sean Penn,Sean Penn,,David Blocker,Frank Hildebrand,Paramount Vantage,Art Linson Productions,Michael Brook,Jay Cassidy,Eric Gautier,Danielle Berman,Brinton Bryan,David Alexander
2007,Zodiac,0443706,157,"['Jake Gyllenhaal', 'Mark Ruffalo', 'Anthony Edwards', 'Robert Downey Jr.', 'Brian Cox', 'John Carroll Lynch', 'Richmond Arquette', 'Bob Stephenson', 'John Lacy', 'Chloë Sevigny', 'Ed Setrakian', 'John Getz', 'John Terry', 'Candy Clark', 'Elias Koteas', 'Dermot Mulroney', 'Donal Logue', 'June Diane Raphael', 'Ciara Moriarty', 'Lee Norris', 'Patrick Scott Lewis', 'Pell James', 'Philip Baker Hall', 'David Lee Smith', 'Jason Wiles', 'Charles Schneider', 'James Carraway', 'Tom Verica', 'Jimmi Simpson', 'Doan Ly', 'Karina Logue', 'Joel Bissonnette', 'Zach Grenier', 'John Mahon', 'Matt Winston', 'Jules Bruff', 'John Ennis', 'J. Patrick McCormack', 'Adam Goldberg', 'James Le Gros', 'Charles Fleischer', 'Clea DuVall', 'Paul Schulze', 'Adam Trese', 'Penny Wallace', 'John Hemphill', 'Michel Francoeur', 'Thomas Kopache', 'Giovanna Spuria', 'Barry Livingston', 'Christopher John Fields', 'Stanley B. Herman', 'Hayati Akbas', 'Martin Andris', 'David Winston Barge', 'Marlo Bernier', 'Felix J. Boyle', 'Geoff Callan', 'Brad Carr', 'Cabran E. Chamberlain', 'Cookie Crawford', 'JD Cullum', 'Rod Damer', 'Francois Dominick', 'Judith Drake', 'Carter Evans', 'Mark Falvo', 'Mitchell Fink', 'Erica Ford', 'Ted Garcia', 'Gloria Grant', 'Benjamin Hartnell', 'Bryan C. Hartnell', 'Jonathan Hartnell', 'Monica Hartnell', 'Tish Hicks', 'Phoebe Holston', 'Michael Hungerford', 'Janis Jones', 'Roy Lee Jones', 'Anna Katarina', 'Barry LeBrock', 'Emily Lineham', 'Marty Lodge', 'Danielle McKee', 'E.P. McKnight', 'Jim McNichols', 'Cazimir Milostan', 'Betty Murphy', 'Dave Nemeth', 'Derris Nile', ""James Joseph O'Neil"", 'Jeff Daniel Phillips', 'Carmen Plumb', 'David Alan Poe', 'Peter Quartaroli', 'Brett Rickaby', 'Michael Rose', 'Jack Samson', 'John Sarno', 'Micah Sauers', 'Zachary Sauers', 'Bill Seward', 'Matthew Shields', 'Ione Skye', 'Callie Thompson', 'Cooper Thornton', 'April Vancelette', 'Cassius M. Willis', 'Shane Woodson']","['Crime', 'Drama', 'Mystery', 'Thriller']",['us'],['en'],"TV-14::(LSV, TV Rating.)",65000000.0,"$13,395,610, 04 Mar 2007",,7.7,407987.0,02 Mar 2007 (Canada),Zodiac,David Fincher,James Vanderbilt,,Ceán Chaffin,Bradley J. Fischer,Paramount Pictures,Warner Bros.,David Shire,Angus Wall,Harris Savides,Victor J. Zolfo,Sally Sue Beisel,Heather Abels
2007,Atonement,0783233,123,"['Saoirse Ronan', 'Ailidh Mackay', 'Brenda Blethyn', 'Julia West', 'James McAvoy', 'Harriet Walter', 'Keira Knightley', 'Juno Temple', 'Felix von Simson', 'Charlie von Simson', 'Alfie Allen', 'Patrick Kennedy', 'Benedict Cumberbatch', 'Peter Wight', 'Leander Deeny', ""Peter McNeil O'Connor"", 'Daniel Mays', 'Nonso Anozie', 'Michel Vuillermoz', 'Lionel Abelanski', 'Tobias Menzies', 'Paul Stocker', 'Alex Noodle', 'Roger Evans', 'Bronson Webb', 'Ian Bonar', 'Oliver Gilbert', 'Jamie Beamish', 'Johnny Harris', 'Nick Bagnall', 'Billy Seymour', 'Neil Maskell', 'Paul Harper', 'Gina McKee', 'Charlie Banks', 'Madeline Crowe', 'Scarlett Dalton', 'Olivia Grant', 'Katy Lawrence', 'Jade Moulla', 'Georgia Oakley', 'Alice Orr-Ewing', 'Catherine Philps', 'Bryony Reiss', 'Sarah Shaul', 'Anna Singleton', 'Emily Thomson', 'Michelle Duncan', 'Romola Garai', 'Kelly Scott', 'Mark Holgate', 'Ryan Kiggell', 'Vivienne Gibbs', 'Matthew Forest', 'Richard Stacey', 'Jay Quinn', 'Jérémie Renier', 'John Normington', 'Jack Harcourt', 'Ben Harcourt', 'Tilly Vosburgh', 'Angel Witney', 'Bonnie Witney', 'Ben Webb', 'Wendy Nottingham', 'Vanessa Redgrave', 'Anthony Minghella', 'Tom Barker', 'Ro Barrett', 'Julie Eagleton', 'James Fiddy', 'Elliott Francis', 'Daniel Harland', 'Douglas Andrew William Johnstone', 'Craig Leonard', 'Christopher Maudsley', 'Arnold Montey', 'Mark Phillips', 'Tom Rooke', 'Ian Wardrobe']","['Drama', 'Mystery', 'Romance', 'War']","['gb', 'fr', 'us']","['en', 'fr']",R,30000000.0,,129266061.0,7.8,233103.0,07 Sep 2007 (UK),Atonement,Joe Wright,Ian McEwan,,Tim Bevan,Liza Chasin,Universal Pictures,StudioCanal,Dario Marianelli,Paul Tothill,Seamus McGarvey,Katie Spencer,Tom Brewster,Adrian Banton
