year,name,Movie_ID,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
2013,Homefront,2312718,100.0,"['Jason Statham', 'James Franco', 'Izabela Vidovic', 'Kate Bosworth', 'Marcus Hester', 'Clancy Brown', 'Winona Ryder', 'Omar Benson Miller', 'Rachelle Lefevre', 'Frank Grillo', 'Chuck Zito', 'Pruitt Taylor Vince', 'Linds Edwards', 'Austin Craig', 'Owen Harn', 'Stuart Greer', 'Christa Campbell', 'Amin Joseph', 'Lance E. Nichols', 'Michael Traynor', 'Joe Chrest', 'Billy Slaughter', 'Christopher Alan Weaver', 'Craig Stark', 'Ritchie Montgomery', 'Karen Kaia Livers', 'Raeden Greer', 'Amber Dawn Landrum', 'Eddie Matthews', 'Greg Sproles', 'Luke Hawx', 'Willie Weber', 'Michael Papajohn', 'Ronn Surels', 'Carlos Navarro', 'Marjorie Parker', 'Nicole Andrews', 'Kenny Cook', 'Joshua Brady', 'Robert Fortner', 'John L. Armijo', 'Michelle Celeste Assil', 'Vincent Buckles', 'Grace Burt', 'Edward J. Clare', 'Ross P. Cook', 'Duane Cothren', 'Dylan DePaula', 'Jerry Esslinger Jr.', 'Adrienne Esteen', 'Steffie Grote', 'Brandon Guttuso', 'Emily D. Haley', 'Rodney Hebert', 'Victor Eli Hugo', 'Charles Hunt', 'Austin Jordan', 'Shane Kretzmann', 'Elton LeBlanc', 'Jamie Mackey', 'Michelle McClendon', 'David Miley', 'Bridget Nichols', 'Toby Nichols', 'Diezel Ramos', 'Kerry Sims', 'Dathan Smith', 'Stefan Solea', 'Emily Jessie Thomas', 'Deneen Tyler', 'Joseph Uzzell', 'Jesse Yarborough']","['Action', 'Thriller']",['us'],['en'],R,22000000.0,"$6,915,241, 01 Dec 2013",51695362.0,6.5,100707.0,27 Nov 2013 (Canada),Homefront,Gary Fleder,Sylvester Stallone,,René Besson,Boaz Davidson,Open Road Films (II),Endgame Entertainment,Mark Isham,Padraic McKinley,Theo van de Sande,Cynthia La Jeunesse,Mark E. Brown,Arpine Aleksanyan
2013,Adoration,2103267,112.0,"['Naomi Watts', 'Robin Wright', 'Xavier Samuel', 'James Frecheville', 'Ben Mendelsohn', 'Jessica Tovey', 'Sophie Lowe', 'Gary Sweet', 'Alyson Standen', 'Skye Sutherland', 'Sarah Henderson', 'Isaac Cocking', 'Brody Mathers', 'Alice Roberts', 'Charlee Thomas', 'Drew Fairley', 'Rowan Witt', 'Sally Cahill', 'Richard Huggett', 'Scott Pirlo', 'Graham Jackson', 'Katrina Norman', 'Harley Ingleby', 'Granger Larsen', 'Nat Watts', 'Solomon Lee', 'Caleb Tancred', 'Ethan Davis', 'Petra Flower', 'Karla Berg', 'Genevieve Hegney', 'Maya Stange', 'James McFay', 'Matt Levett', 'Bianca Bateman', 'Dane Eade']","['Drama', 'Romance']","['au', 'fr']",['en'],R,16000000.0,,,6.2,30354.0,03 Apr 2013 (Belgium),Adore,Anne Fontaine,Anne Fontaine,Doris Lessing,Dominique Besnehard,Francis Boespflug,Gaumont,Screen Australia,Christopher Gordon,Luc Barnier,Christophe Beaucarne,Sara Mathers,Nerida Groth,Ben Blick-Hodge
2013,The Internship,2234155,119.0,"['Vince Vaughn', 'Owen Wilson', 'Rose Byrne', 'Aasif Mandvi', 'Max Minghella', 'Josh Brener', ""Dylan O'Brien"", 'Tiya Sircar', 'Tobit Raphael', 'Josh Gad', 'Jessica Szohr', 'Rob Riggle', 'Eric André', 'Harvey Guillén', 'Gary Anthony Williams', 'Bruno Amato', 'JoAnna Garcia Swisher', 'Anna Enger Ritch', 'Sean Goulding', 'Jill Jane Clements', 'B.J. Novak', 'Karen Ceesay', 'Ashlee Heath', 'Jarion Monroe', 'Brian F. Durkin', 'Dean Balkwill', 'Valyn Hall', ""Linda 'Lil' Johnston"", 'Charlie Levy', 'Sophie Levy', 'Tess Levy', 'Clifton Guterman', 'Chasty Ballesteros', 'Heather Rae Young', 'Dan Ford', 'Chuti Tiu', 'Fel Tengonciang', 'Martha B. Knighton', 'Doris Morgado', 'Molly Brady', 'Zane Stephens', 'Tiara Ramos', ""Jody Smith 'The Supertrainer'"", 'Gerard G. Williams', 'Wells Chen', 'Laura Avnaim', 'Rodolfo C Barrios', 'Tyler Bilyeu', 'Andrew Blazensky', 'Sergey Brin', 'DuRa Brown', 'Miracole Burns', 'Cabran E. Chamberlain', 'Hunter Clowdus', 'Mickey Cole Jr.', 'Ricky Cornett', 'Margie Cox', 'Greg Crews', 'Thomas Dalby', 'Corey D. Dargan', 'Stephanie Davis', 'Patrick Engler', 'Troy Faruk', 'Will Ferrell', 'Jamin Fite', 'Am Fong', 'John T. Ford', 'Bentley Gates', 'Claudia Gates', 'Jeff Glover', 'John Goodman', 'Christian Guiton', 'Daniel Howat', 'Shaady Kamal', 'Michael D. Layden', 'Shawn Levy', 'John Lobato', 'Liana Loggins', 'Lucky Mangione', 'Carl Marino', 'Christopher Marrone', 'Julie Mayo', 'Ken Melde', 'Kristina Mickel', 'Brady Morales', 'Moses J. Moseley', 'Kacie Jo Marta Nickles', 'Nkechi', 'Camilo Kem Olmeda', 'John Orantes', 'Wayne Packer', 'Daniel Partenie', 'Jekyns Pelaez', 'Star Phyfe', 'Kelly V. Reid', 'Joshua Reid-Davis', 'Joel Rogers', 'Vanessa Ross', 'Mitchell Schwartz', 'Molly Shaiken', 'Natalia Smith', 'Curry Stone', 'Rebecca Taylor', 'Kristopher Thiab', 'Jake Tompkins', 'Etienne Vick', 'Uday Vyas', 'Bilan Walker', 'Michael J. Walker', 'Matthew Wang', 'Millie Wannamaker', 'James Watlington', 'John Michael Weatherly', 'Jean Whalen', 'Steven Wiig', 'Callan Wilson', 'Nickolas Wolf', 'Benjamin Wood', 'Caleb Woods', 'Lisa Wu', 'Jimmy O. Yang', 'Jacqueline Marie Zwick']",['Comedy'],['us'],"['en', 'tl', 'yue', 'cmn', 'es']",PG-13,58000000.0,"$17,325,307, 09 Jun 2013",93492844.0,6.3,182309.0,05 Jun 2013 (Jamaica),The Internship,Shawn Levy,Vince Vaughn,Jared Stern,Dan Levine,Shawn Levy,Twentieth Century Fox,Regency Enterprises,Christophe Beck,Dean Zimmerman,Jonathan Brown,Jan Pascale,Maria Battle-Campbell,Richard Anderson
2013,2 Guns,1272878,109.0,"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton', 'Edward James Olmos', 'Bill Paxton', 'Robert John Burke', 'James Marsden', 'Greg Sproles', 'Fred Ward', 'Patrick Fischler', 'Derek Solorsano', 'Edgar Arreola', 'Kyle Clements', 'Christopher Matthew Cook', 'Tim Bell', 'Tait Fletcher', 'Azure Parsons', 'John McConnell', 'Jack Landry', 'Ritchie Montgomery', 'Ambyr Childers', 'Robert Larriviere', 'Lucy Faust', 'George Wilson', 'Yohance Myles', 'Evie Thompson', 'Jesus Jr.', 'Doris Morgado', 'Samuel Baca-Garcia', 'Michael Beasley', 'Christopher Dempsey', 'Bill Stinchcomb', 'Mark Adam', 'David Kency', 'Gilbert Rosales', 'Peter Gabb', 'Jason Kirkpatrick', 'Tony Sanford', 'Lucky Johnson', 'Lindsey G. Smith', 'Lindsey Gort', 'Hillel M. Sharman', 'Aaron Zell', 'Henry Penzi', 'Adam Alvarez', 'Joshua R. Aragon', 'John L. Armijo', 'Jon Arthur', 'Bonnie Bentley', 'Joshua Braud', 'David E. Brown', 'Brady Calhoun', 'Julio Castillo', 'Joseph Cintron', 'Ross P. Cook', 'Jordon Michael Corbin', 'Duane Cothren', 'Raymond Delaune', 'Robert Deon', 'DTeflon', 'Ed Duran', 'Guy Fernandez', 'Tyler Gibbs', 'William G. Gil', 'Russell M. Haeuser', 'Emily D. Haley', 'Tenaj L. Jackson', 'John C. Klein', 'Hugh Lee', 'Edgar Leza', 'John R Mangus', 'Ken Massey', 'Crystal Miller', 'Gustavo Montes', 'Nicholas Patel', 'Philippe Radelet', 'Carlos Retana Jr.', 'Jim Sojka', 'Andrew j Spinks', 'Jason Stanly', 'Timothy Wyant']","['Action', 'Comedy', 'Thriller']",['us'],"['en', 'es']",R,61000000.0,"$27,059,130, 04 Aug 2013",131940411.0,6.7,185273.0,01 Aug 2013 (Thailand),2 Guns,Baltasar Kormákur,Blake Masters,,Brandt Andersen,Andrew Cosby,Universal Pictures,Emmett/Furla/Oasis Films (EFO Films),Clinton Shorter,Michael Tronick,Oliver Wood,Leonard R. Spears,Scott August,Naga Sundeep Agadi
2013,La migliore offerta,1924396,131.0,"['Geoffrey Rush', 'Jim Sturgess', 'Sylvia Hoeks', 'Donald Sutherland', 'Philip Jackson', 'Dermot Crowley', 'Kiruna Stamell', 'Liya Kebede', 'Caterina Capodilista', 'Gen Seto', 'Klaus Tauber', 'Maximilian Dirr', 'Laurence Belgrave', 'Sean Buchanan', 'John Benfield', 'Miles Richardson', 'Jim Conway', 'Brigitte Christensen', 'Jacqueline Hopkins', 'Amanda Walker', 'Rita Davies', 'Sylvia De Fanti', 'Anita Eberwein-Newrkla', 'Ami Veevers Chorlton', 'Victoria Chapman', 'Wolfram Kremer', 'Gerry Shanahan', 'Katherine Wilson', 'David Kevin Fells', 'Jay Natelle', 'Luke Charles', 'Alison Adam', 'Melanie Gerren', 'Marcus J. Cotterell', 'Adrian McCourt', 'Vernon Dobtcheff', 'Patricia Meglio', 'Julian Curry', 'Stefano Scherini', 'Katie McGovern', 'Andrew Ross Phillips', 'Merlin Ramml', 'Elizabeth Anne Kaye', 'Gerhard Haller', 'Jun Ichikawa', 'Lynn Swanson', 'Helen Hutchison', 'Margherita Pettarin', 'Diana Pegan', 'Hannah Britland', 'Shelagh Gallivan', 'Tara Elise Schlener', 'Anton Alexander', 'Karel Mika', 'Simone Spinazze', 'Elizabeth Kalton', 'Diana Hobel', 'Rajeev Badhan', 'Douglas Dean', 'Erand Hoxha', 'Franco Moscon']","['Crime', 'Drama', 'Mystery', 'Romance']",['it'],['en'],R,,,,7.8,98799.0,01 Jan 2013 (Italy),The Best Offer,Giuseppe Tornatore,Giuseppe Tornatore,,Isabella Cocuzza,Guido De Laurentiis,Paco Cinematografica,Warner Bros.,Ennio Morricone,Massimo Quaglia,Fabio Zamarion,Raffaella Giovannetti,Livio Bordone,Laura Alba
2013,Horns,1528071,120.0,"['Daniel Radcliffe', 'Max Minghella', 'Joe Anderson', 'Juno Temple', 'Kelli Garner', 'James Remar', 'Kathleen Quinlan', 'Heather Graham', 'David Morse', 'Michael Adamthwaite', 'Nels Lennarson', 'Don Thompson', 'Jay Brazeau', 'Alex Zahara', 'Kendra Anderson', 'Christine Willes', 'Meredith McGeachie', 'Sarah Boey', 'Panou', 'Reese Alexander', 'Desiree Zurowski', 'Marilyn Norry', 'Nancy Sivak', 'Cameron McDonald', 'John Stewart', 'Dean Wray', 'Graem Beddoes', 'Eric Pollins', 'Pesi Daruwalla', 'Ryan Clare', 'Richard Mitchell', 'Kieron Rhys Lillo', 'Tyson Sully', 'Mark Muskiw', 'Mitchell Kummen', 'Sabrina Carpenter', 'Laine MacNeil', 'Dylan Schmid', 'Jared Ager-Foster', 'Erik McNamee', 'Christian Bower', 'Naomi Hughes-Hall', 'Gemma Bird Matheson']","['Crime', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']","['us', 'ca']",['en'],R,,"$107,544, 02 Nov 2014",,6.5,72048.0,01 Oct 2014 (France),Horns,Alexandre Aja,Keith Bunin,,Alexandre Aja,Riza Aziz,Red Granite Pictures,Mandalay Pictures,Robin Coudert,Baxter,Frederick Elmes,Shane Vieau,Michael Bendner,Nathan Abbot
2013,Lovelace,1426329,93.0,"['Amanda Seyfried', 'Peter Sarsgaard', 'Sharon Stone', 'Robert Patrick', 'Juno Temple', 'Chris Noth', 'Bobby Cannavale', 'Hank Azaria', 'Adam Brody', 'Chloë Sevigny', 'James Franco', 'Debi Mazar', 'Wes Bentley', 'Eric Roberts', 'Ron Pritchard', 'Frank Clem', 'Carrick Moore Gerety', 'Austin Williams', 'Trevor Faris', 'Gaston Willig', 'Brian Gattas', 'Cory Hardrict', 'Peter Holden', 'Sofia Karstens', 'LisaGay Hamilton', 'Don McManus', 'Adam Tomei', 'Greg Vrotsos', 'Lou Richards', 'Sandy Martin', 'Lauren Fray', 'Nicole Andrews', 'Khristian Lupo', 'Eric Hunter', 'Shira Vilensky', 'Soumaya Akaaboune', 'Simona Williams', 'Christopher Aber', 'Alexandra Amadio', 'Johnny Carson', 'Conor Charles', 'Lee Christian', 'Dwight V Coleman', 'Walter Cronkite', 'Phil Donahue', 'Amber Lee Ettinger', 'Jerald Garner', 'John Greer', 'David Gueriera', 'Kiersten Hall', 'Bob Hope', 'Adam Kedis', 'Jeffrey Larson', 'Dave Mallow', 'Celeste McMillian', 'Reza Mir', 'Levi Austin Morris', 'Richard Nixon', 'Tyler Nusenow', 'Jonny Ortiz', 'Robert Popa', 'Joe Reilly', 'Brandon Rice', 'Philip Ruiz', 'Frank Scozzari', 'Julia Stephens', 'Dustin Szany', 'Andrew Tlamsa']","['Biography', 'Drama']",['us'],['en'],R,10000000.0,"$184,536, 11 Aug 2013",,6.2,36684.0,08 Aug 2013 (Croatia),Lovelace,Rob Epstein,Andy Bellin,,Marvin V. Acuna,Boaz Davidson,Millennium Films,Eclectic Pictures,Stephen Trask,Robert Dalva,Eric Alan Edwards,David Smith,Jasmine Marie Alhambra,Emmanuel Bazin
2013,The Counselor,2193215,117.0,"['Michael Fassbender', 'Penélope Cruz', 'Cameron Diaz', 'Javier Bardem', 'Cesar Aguirre', 'Daniel Holguín', 'Chris Obi', 'Bruno Ganz', 'Richard Cabral', 'Provence Maydew', 'Brad Pitt', 'Paris Jefferson', 'Dar Dash', 'Rosie Perez', 'Alex Hafner', 'Andrea Deck', 'Sam Spruell', 'Toby Kebbell', 'Emma Rigby', 'Edgar Ramírez', 'Eben Young', 'Richard Brake', 'Barbara Durkin', 'Giannina Facio', 'Velibor Topic', 'Juan José Rodríguez', 'Alexander Biggie', 'Pablo Paredes', 'Cavassa Ventura', 'Frank Spano', 'Alejandro Marzal', 'Kolya Dam De Nogales', 'William Henry Mulvihill', 'John Hugill', 'Gerard Monaco', 'Fernando Cayo', 'Dean Norris', 'Carlos Julio Molina', 'Rubén Blades', 'Donna Air', 'Natalie Dormer', 'Marco Tulio Luna', 'Lidia Cardona', 'Roger Dalmases', 'Julien Vialon', 'Goran Visnjic', 'Rubi Ali', 'Gintare Beinoraviciute', 'Vic Blickem', 'Bern Collaço', 'Eva Dagoo', 'Robert Dukes', 'Mark Haldor', 'Jaey Howe', 'John Leguizamo', 'Asunción Marhuenda Rubira', 'Arthur Max', 'Cesar Miramontes', 'Alan D. Purwin', 'Natalie Rachel', 'Charlie Richards', 'Mundy Rieu Jr.', 'Jurgen Schwarz', 'Mark Shrimpton', 'Josh Spear', 'Alex Spijksma', 'Pablo Verdejo', 'Josh Wichard', 'Chris Wilson']","['Crime', 'Drama', 'Thriller']","['gb', 'us']","['en', 'es', 'nl']",R,25000000.0,,,5.3,93183.0,25 Oct 2013 (Brazil),The Counsellor,Ridley Scott,Cormac McCarthy,,Mark Albela,Michael Costigan,Fox 2000 Pictures,Scott Free Productions,Daniel Pemberton,Pietro Scalia,Dariusz Wolski,Sonja Klaus,Matthew Baker,Mohammed Aseem
2013,Short Term 12,2370248,96.0,"['Brie Larson', 'John Gallagher Jr.', 'Stephanie Beatriz', 'Rami Malek', 'Alex Calloway', 'Kevin Balmore', 'Lydia Du Veaux', 'LaKeith Stanfield', 'Frantz Turner', 'Kaitlyn Dever', 'Diana Maria Riva', 'Harold Cannon', 'Silvia Curiel', 'Melora Walters', ""Bran'dee Allen"", 'Danny Roper', 'Elyssa Gutierrez', 'Garryson Zamora', 'Michael Marto', 'Patricia Barrett', 'Tanya Marie A. Bitanga', 'Zoe Wilkens', 'Angel Amaral', 'Arnold Barrera', 'Joseph Bruley', 'Fred Herrera', 'Shika Moran', 'Nikki Chapman', 'Fay DeLaCruz', 'Cameron Gore', 'Anthony Puentes', 'Veronica Puentes', 'Laura Macias', 'Ana Shiravi', 'Mohammad Shiravi', 'Edward Goldstein', 'Etta Goldstein', 'Brett Goldstein', 'Alexandra Estrada', 'Michelle Nordahl', 'Jared Callahan', 'Joel P. West', 'Jessica Nordahl', 'Andrea Macias', 'Kaily McCoy', 'Thaddeus McRae', 'Kenny Laubbacher', 'Pamela Luna', 'Valentina I. Valentini', 'Brad Kester', 'Angelina Assereto', 'Merrily Cretton', 'Spring Cretton', 'Patrick James', 'Christopher Jun']",['Drama'],['us'],['en'],R,,"$56,206, 25 Aug 2013",,8.0,75381.0,23 Aug 2013 (USA),Short Term 12,Destin Daniel Cretton,Destin Daniel Cretton,,Joshua Astrachan,Asher Goldstein,Animal Kingdom,Traction Media,Joel P. West,Nat Sanders,Brett Pawlak,,Stephenie Galvan,
2013,Young and Beautiful,2752200,95.0,"['Marine Vacth', 'Géraldine Pailhas', 'Frédéric Pierrot', 'Fantin Ravat', 'Johan Leysen', 'Charlotte Rampling', 'Nathalie Richard', 'Djédjé Apali', 'Lucas Prisor', 'Laurent Delbecque', 'Jeanne Ruff', 'Carole Franck', 'Olivier Desautel', 'Serge Hefez', 'Akéla Sari', ""Nathan N'Diaye"", ""Anne-Elina N'Diaye"", 'Stefano Cassetti', 'Patrick Bonnel', 'Gurvan Cloatre', 'Roland David', 'Rachel Khan', 'Caroline Breton', 'Iliana Zabeth', 'Charlotte-Victoire Legrain', 'Jules Gruault', 'Lilian Minas', 'Jules Bourbon', 'Ugo Bokhobza', 'Anaïs Clergeau', 'Achille Couderc', 'Tess Girault de Castilla', 'Victor Le Dauphin', 'Coline Mortier', 'Thaïs Becq de Fouquières', 'Mathilde Bleu', 'Victor Boulanger', 'Rosalie Charrier', 'Violette Deffontaines', 'Nassim Gouaini', 'Paul Hadji Lazaro', 'François Haueter', 'Roxane Khodabandehlou', 'Camille Lemoine', 'Zoé Lizot', 'Alice Paulet', 'Marie Sebillotte', 'Vincent Silhol', 'Camille Tilak', 'Félicie Cazaubon', 'Pauline Legrand', 'Tom Le Squer', 'Thomas Brazete']","['Drama', 'Romance']",['fr'],"['fr', 'de']",Not Rated,,,,6.7,29819.0,21 Aug 2013 (Belgium),Young & Beautiful,François Ozon,François Ozon,,Eric Altmayer,Nicolas Altmayer,Mandarin Films,Mars Films,Philippe Rombi,Laure Gardette,Pascal Marti,,Carole Schmidlin Blanchard,Jerome Binckly
