Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
The Departed,2006,R,06 Oct 2006,151 min,"Crime, Drama, Thriller",Martin Scorsese,"William Monahan (screenplay), Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"English, Cantonese",USA,Won 4 Oscars. Another 92 wins & 135 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.5,"1,101,997",tt0407887,movie,13 Feb 2007,"$132,300,000",Warner Bros. Pictures,N/A,True
The Prestige,2006,PG-13,20 Oct 2006,130 min,"Drama, Mystery, Sci-Fi, Thriller",Christopher Nolan,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Priest (novel)","Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",English,"USA, UK",Nominated for 2 Oscars. Another 5 wins & 37 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,8.5,"1,096,561",tt0482571,movie,20 Feb 2007,"$53,100,000",Buena Vista Pictures,N/A,True
300,2006,R,09 Mar 2007,117 min,"Action, Drama, Fantasy, War",Zack Snyder,"Zack Snyder (screenplay), Kurt Johnstad (screenplay), Michael B. Gordon (screenplay), Frank Miller (graphic novel), Lynn Varley (graphic novel)","Gerard Butler, Lena Headey, Dominic West, David Wenham",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,English,"USA, Canada, Bulgaria",17 wins & 45 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,7.7,"701,832",tt0416449,movie,31 Jul 2007,"$210,500,000",Warner Bros. Pictures,N/A,True
Cars,2006,G,09 Jun 2006,117 min,"Animation, Comedy, Family, Sport","John Lasseter, Joe Ranft(co-director)","John Lasseter (original story by), Joe Ranft (original story by), Jorgen Klubien (original story by), Dan Fogelman (screenplay by), John Lasseter (screenplay by), Joe Ranft (screenplay by), Kiel Murray (screenplay by), Phil Lorin (screenplay by), Jorgen Klubien (screenplay by), Steve Purcell (additional screenplay material)","Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.","English, Italian, Japanese, Yiddish",USA,Nominated for 2 Oscars. Another 27 wins & 28 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.1,"338,668",tt0317219,movie,07 Nov 2006,"$244,052,771",Buena Vista,N/A,True
Casino Royale,2006,PG-13,17 Nov 2006,144 min,"Action, Adventure, Thriller",Martin Campbell,"Neal Purvis (screenplay), Robert Wade (screenplay), Paul Haggis (screenplay), Ian Fleming (novel)","Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high stakes game of poker at Casino Royale, Montenegro.","Serbian, German, Italian, English, French","UK, Czech Republic, USA, Germany, Bahamas",Won 1 BAFTA Film Award. Another 26 wins & 44 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,8.0,"547,881",tt0381061,movie,13 Mar 2007,"$167,007,184",Sony,N/A,True
Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,07 Jul 2006,151 min,"Action, Adventure, Fantasy",Gore Verbinski,"Ted Elliott, Terry Rossio, Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters)","Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","English, Turkish, Greek, Mandarin, French",USA,Won 1 Oscar. Another 42 wins & 53 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.3,"622,341",tt0383574,movie,05 Dec 2006,"$423,032,628",Buena Vista,N/A,True
The Holiday,2006,PG-13,08 Dec 2006,136 min,"Comedy, Romance",Nancy Meyers,Nancy Meyers,"Cameron Diaz, Kate Winslet, Jude Law, Jack Black","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.",English,USA,2 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.9,"223,531",tt0457939,movie,13 Mar 2007,"$63,224,849",Sony Pictures,N/A,True
Pan's Labyrinth,2006,R,19 Jan 2007,118 min,"Drama, Fantasy, War",Guillermo del Toro,Guillermo del Toro,"Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Spanish,"Mexico, Spain",Won 3 Oscars. Another 99 wins & 105 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '98/100'}]",98,8.2,"583,037",tt0457430,movie,18 May 2007,"$37,500,000",Picturehouse,N/A,True
The Lives of Others,2006,R,30 Mar 2007,137 min,"Drama, Thriller",Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,"Martina Gedeck, Ulrich Mühe, Sebastian Koch, Ulrich Tukur","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",German,Germany,Won 1 Oscar. Another 75 wins & 34 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.4,"330,897",tt0405094,movie,21 Aug 2007,"$11,200,000",Sony Pictures Classics,N/A,True
Apocalypto,2006,R,08 Dec 2006,139 min,"Action, Adventure, Drama, Thriller",Mel Gibson,"Mel Gibson, Farhad Safinia","Rudy Youngblood, Dalia Hernández, Jonathan Brewer, Morris Birdyellowhead","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Maya,USA,Nominated for 3 Oscars. Another 9 wins & 20 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.8,"274,759",tt0472043,movie,22 May 2007,"$50,772,724",Buena Vista,N/A,True
