Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Strange Circus,2005,N/A,06 Mar 2007,108 min,"Drama, Horror, Mystery, Thriller",Sion Sono,Sion Sono,"Masumi Miyazaki, Issei Ishida, Rie Kuwana, Seiko Iwaidô","The erotic novelist Taeko is writing a morbid story of a family destroyed by incest, murder and abuse. Her assistant, Yuji, sets on a mission to uncover the reality of this story, but the reality might be too much to bear.",Japanese,Japan,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"4,707",tt0492784,movie,06 Mar 2007,N/A,Unknown,N/A,True
Fragile,2005,PG-13,14 Oct 2005,101 min,"Horror, Mystery, Thriller",Jaume Balagueró,"Jaume Balagueró, Jordi Galceran","Calista Flockhart, Richard Roxburgh, Elena Anaya, Gemma Jones","At her new job in a rundown children's hospital, a nurse desperately tries to keep her patients safe from a plague of random, mysterious attacks.",English,"Spain, UK",7 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"14,985",tt0422272,movie,28 Sep 2010,N/A,MGM,N/A,True
9th Company,2005,R,29 Sep 2005,139 min,"Action, Drama, History, War",Fedor Bondarchuk,"Iskander Galiev, Yuriy Korotkov","Artur Smolyaninov, Aleksey Chadov, Konstantin Kryukov, Ivan Kokorin","Young Soviet Army recruits are stuck in the bloody war in Afghanistan, that was started by politicians.",Russian,"Finland, Russia, Ukraine",12 wins & 22 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}]",N/A,7.1,"18,866",tt0417397,movie,31 Aug 2010,N/A,Contender Entertainment Group,N/A,True
The Tiger and the Snow,2005,N/A,14 Oct 2005,110 min,"Comedy, Drama, Romance, War",Roberto Benigni,"Roberto Benigni, Vincenzo Cerami","Roberto Benigni, Jean Reno, Nicoletta Braschi, Tom Waits",A love-struck Italian poet is stuck in Iraq at the onset of an American invasion.,"Italian, English, Arabic, French",Italy,5 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,7.1,"12,930",tt0419198,movie,08 May 2007,N/A,Strand Releasing,N/A,True
Three Times,2005,Not Rated,28 Oct 2005,120 min,"Drama, Romance",Hsiao-Hsien Hou,"T'ien-wen Chu, Hsiao-Hsien Hou","Qi Shu, Chen Chang, Fang Mei, Shu-Chen Liao","Three stories set in three times, 1911, 1966 and 2005. Two actors play the two main characters in each story.","Mandarin, Min Nan","France, Taiwan",6 wins & 15 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.0,"5,089",tt0459666,movie,26 Sep 2006,N/A,IFC First Take,N/A,True
Russian Dolls,2005,Not Rated,15 Jun 2005,125 min,"Comedy, Drama, Romance",Cédric Klapisch,Cédric Klapisch,"Romain Duris, Kelly Reilly, Audrey Tautou, Cécile de France","Five years after their summer together in Barcelona, Xavier, William, Wendy, Martine and Isabelle reunite.","French, Russian, English, Spanish, Italian","France, UK",1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.0,"18,581",tt0409184,movie,26 Sep 2006,N/A,Cinema Libre Studio,N/A,True
The Amateurs,2005,R,28 Apr 2006,96 min,Comedy,Michael Traeger,Michael Traeger,"Jeff Bridges, Tim Blake Nelson, Joe Pantoliano, Ted Danson","Citizens of a small town, under the influence of a man in the midst of a mid-life crisis, come together to make an adult film.",English,"USA, Germany",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.3,"5,962",tt0405163,movie,12 Feb 2008,N/A,First Look Studios,N/A,True
Snowland,2005,N/A,20 Jan 2005,142 min,"Drama, Romance",Hans W. Geissendörfer,"Hans W. Geissendörfer, Elisabeth Rynell (novel)","Thomas Kretschmann, Julia Jentsch, Maria Schrader, Ulrich Mühe","In the snowy landscape of Lapland, a newly-widowed writer discovers the traces of a bygone love story through which she finds a way back to her own life.","German, Faroese",Germany,4 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,318,tt0378715,movie,N/A,N/A,StudioCanal,N/A,True
The Embassy in the Building,2005,N/A,19 Jul 2005,107 min,"Comedy, Drama",Amr Arafa,Youssef Maaty,"Adel Imam, Dalia El Behairy, Ahmed Rateb, Lotfy Labib","After 25 years working overseas. Sherif Khairy, Adel Imam, returns home to find out that the Israeli Embassy in Egypt took over the building he used to live in.",Arabic,Egypt,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"1,380",tt0477470,movie,N/A,N/A,N/A,N/A,True
Hate Crime,2012,Not Rated,N/A,73 min,Horror,James Cullen Bressack,"James Cullen Bressack, Jarret Cohen","Jody Barton, Nicholas Adam Clark, Gregory DePetro, Debbie Diesel","A Jewish family, that just arrived in a new neighborhood, are recording their youngest son's birthday celebrations on video when their home is suddenly invaded by a bunch of crystal-meth-crazed Neo-Nazi lunatics.",English,USA,9 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,780,tt2257436,movie,N/A,N/A,N/A,N/A,True
