Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Apokalypse 99 - Anatomie eines Amokläufers,2000,N/A,N/A,90 min,N/A,Dmitriy Astrakhan,"Mathias Klaschka, Karsten Laske","Karoline Eichhorn, Thomas Heinze, Juraj Kukura, Ulrich Tukur",N/A,"Russian, German","Russia, Germany",N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,5,tt0247934,movie,N/A,N/A,N/A,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Picking Up the Pieces,2000,R,30 Aug 2000,95 min,"Comedy, Crime, Fantasy",Alfonso Arau,Bill Wilson,"Woody Allen, Sharon Stone, Maria Grazia Cucinotta, Cheech Marin","A small New Mexican village discovers a severed hand that is considered a miracle of God, when it actually belongs to a murdered spouse with a husband in search of it.",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,"3,343",tt0192455,movie,22 May 2001,N/A,Artisan Entertainment,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,False
The Convent,2000,R,10 Jul 2000,79 min,"Comedy, Fantasy, Horror",Mike Mendez,"Chaton Anderson (story), Chaton Anderson (screenplay)","Joanna Canton, Richard Trapp, Dax Miller, Renée Graham",A group of college students break into an abandoned convent and become possessed by demonic spirits.,English,USA,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,"2,339",tt0217331,movie,11 Dec 2001,N/A,Unapix,N/A,True
3 Strikes,2000,R,01 Mar 2000,82 min,Comedy,DJ Pooh,DJ Pooh,"Brian Hooks, N'Bushe Wright, Faizon Love, E-40","Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change ...",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '11/100'}]",11,4.7,"2,832",tt0199290,movie,19 Jun 2001,N/A,MGM Home Entertainment,N/A,True
Lost Souls,2000,R,13 Oct 2000,97 min,"Drama, Horror, Thriller",Janusz Kaminski,"Pierce Gardner (story), Betsy Stahl (story), Pierce Gardner (screenplay)","Winona Ryder, Ben Chaplin, Sarah Wynter, Philip Baker Hall","A Catholic teacher meets an atheist journalist, whom a group of Catholics and priests believes has been chosen by the devil himself to be the Antichrist.",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '16/100'}]",16,4.8,"10,022",tt0160484,movie,27 Feb 2001,N/A,New Line Cinema,N/A,True
Jalla! Jalla!,2000,N/A,22 Dec 2000,88 min,"Comedy, Drama, Romance",Josef Fares,Josef Fares,"Fares Fares, Torkel Petersson, Tuva Novotny, Laleh Pourkarim","Roro, a foreign worker in Swedish parks, loves his girlfriend but is about to marry another girl to prevent her from being sent back to Lebanon. Roros best friend, Måns, has his own ...","Swedish, Arabic",Sweden,5 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.8,"12,338",tt0269389,movie,N/A,N/A,Sonet Film,N/A,True
Get Ready to Be Boyzvoiced,2000,N/A,01 Dec 2000,95 min,"Comedy, Music","Espen Eckbo, Henrik Elvestad, Mathis Fürst","Espen Eckbo, Henrik Elvestad","Espen Eckbo, Øyvind Thoen, Kaare Daniel Steen, Henrik Elvestad","Norwegian mock-documentary following the trials and tribulations of boy-band Boyzvoice, their fans and management.",Norwegian,Norway,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"1,363",tt0248036,movie,N/A,N/A,N/A,N/A,True
The Newcomers,2000,G,N/A,90 min,"Drama, Family",James Allen Bradley,"Tony Jiti Gill, Garrett Clancy","Christopher McCoy, Matt McCoy, Kate Bosworth, Elizabeth Duff",A 12-year-old boy and his family start life over in a new town.,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,294,tt0221431,movie,04 Feb 2003,N/A,MTI Home Video,N/A,True
Bruiser,2000,R,13 Feb 2000,99 min,"Horror, Mystery",George A. Romero,George A. Romero,"Jason Flemyng, Peter Stormare, Leslie Hope, Nina Garbiras","After years of being tread upon and cheated on, a man awakens to find his face has a been replaced by a blank, white mask.","English, Spanish","France, Canada, USA",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,5.3,"5,338",tt0212830,movie,09 Oct 2001,N/A,LionsGate Entertainment,N/A,True
Cut,2000,R,02 Mar 2000,82 min,"Comedy, Horror, Mystery, Thriller",Kimble Rendall,"Mark Lamprell (story), Dave Warner (screenplay), Dave Warner (story)","Molly Ringwald, Frank Roberts, Kylie Minogue, Geoff Revell","A killer begins to stalk the actors of a low budget horror film, killing them off one by one.",English,"Australia, Germany, USA",N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}]",N/A,4.2,"2,984",tt0189456,movie,08 May 2001,N/A,Trimark,N/A,True
The Crew,2000,PG-13,25 Aug 2000,88 min,"Crime, Comedy",Michael Dinner,Barry Fanaro,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya, Seymour Cassel",Four retired mobsters plan one last crime to save their retirement home.,"English, Spanish",USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.6,"4,366",tt0198386,movie,13 Mar 2001,"$12,485,210",Touchstone Pictures,N/A,True
The Wog Boy,2000,N/A,24 Feb 2000,92 min,Comedy,Aleksi Vellis,"Chris Anastassiades, Nick Giannopoulos","Nick Giannopoulos, Lucy Bell, Vince Colosimo, Geraldine Turner","When a 'dole bludging' Greek gains national fame following a television appearance, he's recruited by a political party as the face of their campaign to improve the country's unemployment rate.",English,Australia,2 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"1,875",tt0216417,movie,N/A,N/A,N/A,N/A,True
Vulgar,2000,R,26 Apr 2002,87 min,"Crime, Drama, Thriller",Bryan Johnson,Bryan Johnson,"Brian O'Halloran, Bryan Johnson, Jerry Lewkowitz, Ethan Suplee",A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '5/100'}]",5,5.3,"3,773",tt0120467,movie,03 Sep 2002,N/A,Lions Gate Films,N/A,True
Devil in the Flesh 2,2000,R,08 Sep 2000,92 min,"Horror, Thriller",Marcus Spiegel,Richard Brandes,"Jodi Lyn O'Keefe, Jsu Garcia, Katherine Kendall, Jeanette Brox",A college coed falls for her teacher and will kill anyone who gets in her way.,English,"Canada, USA",N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,4.4,"1,171",tt0217086,movie,27 Mar 2001,N/A,Ardustry Home Entertainment,N/A,True
