Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Black Hawk Down,2001,R,18 Jan 2002,144 min,"Drama, History, War",Ridley Scott,"Mark Bowden (book), Ken Nolan (screenplay)","Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana",160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,"English, Somali, Arabic","USA, UK",Won 2 Oscars. Another 8 wins & 37 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.7,"345,298",tt0265086,movie,11 Jun 2002,"$108,585,355",Sony Pictures,N/A,True
Shrek,2001,PG,18 May 2001,90 min,"Animation, Adventure, Comedy, Family, Fantasy","Andrew Adamson, Vicky Jenson","William Steig (based upon the book by), Ted Elliott, Terry Rossio, Joe Stillman, Roger S.H. Schulman, Cody Cameron (additional dialogue), Chris Miller (additional dialogue), Conrad Vernon (additional dialogue)","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",English,USA,Won 1 Oscar. Another 36 wins & 60 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.8,"573,686",tt0126029,movie,02 Nov 2001,"$266,982,666",Dreamworks,N/A,True
Training Day,2001,R,05 Oct 2001,122 min,"Crime, Drama, Thriller",Antoine Fuqua,David Ayer,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger","On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes beyond a full work day in training within the narcotics division of the L.A.P.D. with a rogue detective who isn't what he appears to be.","English, Russian, Spanish, Korean, Greek",USA,Won 1 Oscar. Another 15 wins & 23 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.7,"363,377",tt0139654,movie,01 Jun 2004,N/A,Warner Bros. Pictures,N/A,True
Gosford Park,2001,R,18 Jan 2002,131 min,"Comedy, Drama, Mystery",Robert Altman,"Julian Fellowes, Robert Altman (based upon an idea by), Bob Balaban (based upon an idea by)","Maggie Smith, Michael Gambon, Kristin Scott Thomas, Camilla Rutherford",The lives of upstairs guests and downstairs servants at a party in 1932 in a country house in England as they investigate a murder involving one of them.,English,"USA, UK, Italy",Won 1 Oscar. Another 31 wins & 73 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,7.2,"75,012",tt0280707,movie,25 Jun 2002,"$41,274,328",USA Films,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Ocean's Eleven,2001,PG-13,07 Dec 2001,116 min,"Crime, Thriller",Steven Soderbergh,"George Clayton Johnson, Jack Golden Russell, Harry Brown, Charles Lederer, Ted Griffin (screenplay)","George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence",Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.,"English, Italian, Cantonese",USA,4 wins & 20 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.8,"481,438",tt0240772,movie,07 May 2002,"$183,349,128",Warner Bros. Pictures,N/A,True
Moulin Rouge!,2001,PG-13,01 Jun 2001,127 min,"Drama, Musical, Romance",Baz Luhrmann,"Baz Luhrmann, Craig Pearce","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent",A poet falls for a beautiful courtesan whom a jealous duke covets.,"English, French, Spanish","Australia, USA",Won 2 Oscars. Another 84 wins & 129 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.6,"255,150",tt0203009,movie,18 Dec 2001,"$55,093,223",20th Century Fox,N/A,True
Legally Blonde,2001,PG-13,13 Jul 2001,96 min,"Comedy, Romance",Robert Luketic,"Amanda Brown (novel), Karen McCullah (screenplay), Kirsten Smith (screenplay)","Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis","Elle Woods, a fashionable sorority queen is dumped by her boyfriend. She decides to follow him to law school, while she is there she figures out that there is more to her than just looks.",English,USA,Nominated for 2 Golden Globes. Another 6 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.2,"169,542",tt0250494,movie,06 Nov 2001,"$95,001,351",MGM,N/A,True
Atlantis: The Lost Empire,2001,PG,15 Jun 2001,95 min,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi","Gary Trousdale, Kirk Wise","Tab Murphy (screenplay by), Kirk Wise (story by), Gary Trousdale (story by), Joss Whedon (story by), Bryce Zabel (story by), Jackie Zabel (story by), Tab Murphy (story by), David Reynolds (additional screenplay material)","Corey Burton, Claudia Christian, Michael J. Fox, James Garner",A young adventurer named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,"English, French, Spanish",USA,2 wins & 14 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.9,"94,820",tt0230011,movie,29 Jan 2002,"$83,561,615",Walt Disney Pictures,N/A,True
The Fast and the Furious,2001,PG-13,22 Jun 2001,106 min,"Action, Crime, Thriller",Rob Cohen,"Ken Li (magazine article ""Racer X""), Gary Scott Thompson (screen story), Gary Scott Thompson (screenplay), Erik Bergquist (screenplay), David Ayer (screenplay)","Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster",Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,"English, Spanish","USA, Germany",11 wins & 12 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.8,"327,163",tt0232500,movie,01 Jan 2002,"$142,542,950",Universal Pictures,N/A,True
